Date,Open,High,Low,Close
01-Jan-2018,119.65,122.50,118.05,118.65
02-Jan-2018,119.25,123.85,117.00,123.35
03-Jan-2018,124.75,125.80,123.75,124.50
04-Jan-2018,125.25,127.35,123.80,126.95
05-Jan-2018,127.00,128.20,126.00,127.45
08-Jan-2018,127.90,129.00,126.90,128.45
09-Jan-2018,130.20,132.60,129.50,130.50
10-Jan-2018,130.30,130.50,126.70,127.95
11-Jan-2018,127.00,128.90,126.05,127.05
12-Jan-2018,127.50,129.15,125.10,128.65
15-Jan-2018,128.95,129.35,125.00,126.10
16-Jan-2018,126.10,126.40,121.60,122.30
17-Jan-2018,122.10,124.80,119.50,124.45
18-Jan-2018,124.20,125.30,120.10,120.90
19-Jan-2018,120.80,121.50,118.70,121.05
22-Jan-2018,121.65,121.95,119.20,121.05
23-Jan-2018,120.50,125.30,120.20,124.00
24-Jan-2018,124.00,125.15,122.30,123.30
25-Jan-2018,124.25,124.40,121.60,122.30
29-Jan-2018,122.90,126.55,122.65,125.40
30-Jan-2018,125.80,126.65,123.55,125.75
31-Jan-2018,125.40,126.55,124.40,126.10
01-Feb-2018,126.95,126.95,116.30,123.35
02-Feb-2018,124.30,126.65,118.50,122.30
05-Feb-2018,118.90,130.00,118.35,129.35
06-Feb-2018,123.00,128.70,120.80,126.90
07-Feb-2018,129.95,134.00,128.65,132.90
08-Feb-2018,133.75,136.60,133.10,134.15
09-Feb-2018,131.00,135.75,131.00,134.20
12-Feb-2018,135.40,136.75,132.70,133.30
14-Feb-2018,135.45,138.75,134.20,137.40
15-Feb-2018,138.45,139.30,136.20,137.25
16-Feb-2018,138.60,138.90,133.40,133.95
19-Feb-2018,134.45,134.50,130.65,132.20
20-Feb-2018,132.50,135.35,131.80,133.40
21-Feb-2018,134.00,134.90,131.95,132.35
22-Feb-2018,131.80,133.35,131.20,132.35
23-Feb-2018,133.00,134.90,132.65,134.40
26-Feb-2018,135.50,137.80,135.50,136.80
27-Feb-2018,137.70,138.50,136.50,137.70
28-Feb-2018,137.35,142.20,136.90,141.50
01-Mar-2018,142.75,143.90,140.35,140.95
05-Mar-2018,139.90,140.65,138.35,140.15
06-Mar-2018,140.95,142.90,139.25,139.85
07-Mar-2018,139.95,142.90,139.20,141.25
08-Mar-2018,143.25,144.85,142.60,144.15
09-Mar-2018,147.00,147.45,144.40,147.00
12-Mar-2018,148.00,148.60,144.60,145.40
13-Mar-2018,145.80,150.45,143.80,149.90
14-Mar-2018,149.20,150.30,148.60,149.70
15-Mar-2018,149.10,151.65,148.95,150.55
16-Mar-2018,150.30,150.60,146.70,147.15
19-Mar-2018,148.00,148.35,144.00,145.70
20-Mar-2018,145.45,148.00,144.70,146.00
21-Mar-2018,146.90,148.80,146.50,147.50
22-Mar-2018,148.20,148.20,141.55,142.00
23-Mar-2018,140.00,142.55,138.20,142.05
26-Mar-2018,143.00,145.30,142.20,144.40
27-Mar-2018,145.90,146.65,143.05,144.95
28-Mar-2018,144.55,146.70,143.90,145.45
02-Apr-2018,146.55,148.95,146.15,148.10
03-Apr-2018,147.95,149.45,147.35,147.75
04-Apr-2018,148.40,150.60,145.05,145.85
05-Apr-2018,147.35,148.65,146.00,147.00
06-Apr-2018,147.40,147.40,143.20,146.45
09-Apr-2018,146.85,148.95,145.75,146.35
10-Apr-2018,146.90,147.60,144.00,145.30
11-Apr-2018,145.90,146.45,144.50,144.80
12-Apr-2018,145.30,145.95,144.10,145.10
13-Apr-2018,145.90,150.55,145.50,149.40
16-Apr-2018,149.20,152.50,148.65,151.00
