Date,Open,High,Low,Close
01-Jan-2018,3340.00,3345.05,3276.40,3289.25
02-Jan-2018,3309.00,3348.00,3280.00,3294.75
03-Jan-2018,3310.00,3310.20,3231.55,3241.05
04-Jan-2018,3244.00,3274.25,3219.00,3264.45
05-Jan-2018,3263.00,3294.00,3244.05,3279.85
08-Jan-2018,3285.10,3296.70,3265.25,3275.75
09-Jan-2018,3276.00,3284.50,3231.05,3243.50
10-Jan-2018,3228.25,3240.00,3200.20,3207.40
11-Jan-2018,3210.00,3220.30,3180.15,3193.40
12-Jan-2018,3208.90,3214.00,3152.25,3175.35
15-Jan-2018,3182.20,3189.00,3154.50,3166.00
16-Jan-2018,3176.00,3185.00,3140.05,3160.05
17-Jan-2018,3158.00,3216.60,3154.35,3194.15
18-Jan-2018,3210.00,3241.90,3191.00,3201.20
19-Jan-2018,3207.80,3223.75,3173.45,3210.40
22-Jan-2018,3200.00,3283.00,3200.00,3274.50
23-Jan-2018,3280.00,3324.00,3272.05,3295.95
24-Jan-2018,3295.00,3349.95,3277.05,3341.55
25-Jan-2018,3344.00,3345.90,3295.00,3311.70
29-Jan-2018,3317.00,3377.95,3293.55,3363.90
30-Jan-2018,3373.95,3404.95,3341.10,3358.30
31-Jan-2018,3348.00,3385.80,3256.15,3337.15
01-Feb-2018,3340.00,3421.20,3290.00,3412.95
02-Feb-2018,3419.00,3468.35,3166.95,3241.30
05-Feb-2018,3200.00,3233.00,3140.60,3185.55
06-Feb-2018,3005.00,3157.95,3005.00,3135.10
07-Feb-2018,3198.30,3198.30,3125.20,3135.55
08-Feb-2018,3155.00,3189.95,3131.90,3157.95
09-Feb-2018,3129.00,3142.50,3080.85,3099.25
12-Feb-2018,3134.00,3162.90,3082.00,3154.10
14-Feb-2018,3155.00,3159.95,3100.00,3109.75
15-Feb-2018,3125.00,3167.10,3097.55,3143.50
16-Feb-2018,3158.00,3158.00,3095.55,3103.90
19-Feb-2018,3110.00,3117.50,3010.00,3030.60
20-Feb-2018,3032.00,3070.50,3010.75,3049.85
21-Feb-2018,3080.90,3081.55,3003.10,3012.60
22-Feb-2018,3014.80,3014.80,2966.00,2974.30
23-Feb-2018,2988.00,3007.95,2960.10,2986.40
26-Feb-2018,3004.00,3044.00,3000.90,3008.70
27-Feb-2018,3040.00,3058.00,3022.00,3034.70
28-Feb-2018,3010.00,3056.65,2990.00,3020.60
01-Mar-2018,3067.10,3080.00,3008.05,3020.90
05-Mar-2018,3020.90,3020.90,2931.75,2943.55
06-Mar-2018,2969.90,2976.05,2883.25,2899.20
07-Mar-2018,2898.00,2940.00,2875.00,2903.90
08-Mar-2018,2919.70,2945.00,2891.10,2923.90
09-Mar-2018,2934.00,2966.90,2918.15,2935.40
12-Mar-2018,2956.00,2966.00,2931.00,2957.75
13-Mar-2018,2959.00,3004.00,2952.95,2971.75
14-Mar-2018,2963.00,2969.00,2936.00,2950.55
15-Mar-2018,2960.00,2971.90,2936.50,2948.75
16-Mar-2018,2940.00,2958.00,2890.35,2910.45
19-Mar-2018,2913.55,2920.85,2842.65,2849.45
20-Mar-2018,2843.90,2888.25,2830.30,2873.00
21-Mar-2018,2889.95,2890.45,2835.35,2851.80
22-Mar-2018,2851.90,2873.75,2822.00,2834.95
23-Mar-2018,2814.90,2817.25,2745.00,2789.95
26-Mar-2018,2788.00,2864.75,2732.05,2848.65
27-Mar-2018,2861.00,2863.90,2791.00,2798.30
28-Mar-2018,2775.00,2792.30,2735.55,2744.70
02-Apr-2018,2755.00,2815.95,2749.00,2808.95
03-Apr-2018,2790.00,2829.90,2785.00,2792.00
04-Apr-2018,2807.00,2816.00,2746.25,2766.00
05-Apr-2018,2790.00,2815.95,2782.40,2808.15
06-Apr-2018,2814.95,2824.05,2776.25,2786.40
09-Apr-2018,2788.00,2803.95,2767.35,2772.45
10-Apr-2018,2790.00,2799.00,2762.45,2766.45
11-Apr-2018,2775.00,2780.00,2751.00,2755.55
12-Apr-2018,2777.00,2780.00,2757.00,2763.20
13-Apr-2018,2769.45,2806.00,2759.25,2786.20
16-Apr-2018,2783.70,2841.45,2776.10,2838.30
