Date,Open,High,Low,Close
01-Jan-2018,540.15,545.95,535.60,538.00
02-Jan-2018,540.40,547.30,534.45,541.70
03-Jan-2018,541.00,546.00,538.80,541.85
04-Jan-2018,542.50,545.50,538.85,541.65
05-Jan-2018,542.80,545.80,537.00,540.95
08-Jan-2018,544.20,564.00,542.25,555.35
09-Jan-2018,553.55,558.25,543.75,545.50
10-Jan-2018,545.00,549.60,532.30,541.85
11-Jan-2018,542.80,551.70,538.00,546.25
12-Jan-2018,547.00,547.45,535.00,540.40
15-Jan-2018,540.95,546.40,534.00,539.00
16-Jan-2018,539.90,543.65,529.05,534.80
17-Jan-2018,534.50,554.00,525.25,551.30
18-Jan-2018,555.10,555.90,536.10,539.60
19-Jan-2018,549.00,575.00,545.10,569.35
22-Jan-2018,568.90,614.40,559.10,603.85
23-Jan-2018,604.00,652.80,604.00,643.70
24-Jan-2018,642.00,657.50,627.35,634.55
25-Jan-2018,601.00,617.50,600.20,607.45
29-Jan-2018,613.00,641.90,609.00,615.45
30-Jan-2018,617.95,635.00,607.65,629.95
31-Jan-2018,631.00,631.00,609.05,614.90
01-Feb-2018,616.00,626.95,603.50,619.10
02-Feb-2018,615.70,621.00,593.75,598.20
05-Feb-2018,588.00,609.25,566.85,605.20
06-Feb-2018,560.20,596.30,560.20,584.95
07-Feb-2018,595.05,606.30,586.60,590.60
08-Feb-2018,596.40,620.95,592.65,614.90
09-Feb-2018,609.80,613.75,600.70,606.95
12-Feb-2018,610.95,619.85,609.00,612.05
14-Feb-2018,616.75,618.00,604.45,606.85
15-Feb-2018,610.00,615.00,600.05,601.55
16-Feb-2018,606.00,617.70,602.85,606.90
19-Feb-2018,609.20,609.95,582.05,590.95
20-Feb-2018,592.00,592.30,570.30,572.45
21-Feb-2018,558.00,584.80,553.20,579.65
22-Feb-2018,581.00,629.00,576.00,619.75
23-Feb-2018,625.00,639.85,624.30,628.25
26-Feb-2018,630.00,633.75,619.80,628.80
27-Feb-2018,625.20,638.85,620.10,622.90
28-Feb-2018,619.00,645.00,619.00,630.05
01-Mar-2018,631.00,640.00,625.10,626.85
05-Mar-2018,625.35,632.55,618.45,623.30
06-Mar-2018,628.75,643.70,626.00,632.40
07-Mar-2018,635.90,635.90,602.30,604.25
08-Mar-2018,608.00,615.55,591.00,600.20
09-Mar-2018,602.00,610.90,594.00,595.15
12-Mar-2018,604.00,604.00,583.40,595.25
13-Mar-2018,588.20,610.35,582.30,603.80
14-Mar-2018,603.70,617.00,601.30,605.75
15-Mar-2018,606.00,612.90,595.80,600.50
16-Mar-2018,601.00,605.05,583.30,586.30
19-Mar-2018,587.00,590.50,575.25,579.10
20-Mar-2018,576.00,583.70,567.10,576.30
21-Mar-2018,583.00,589.45,577.75,580.15
22-Mar-2018,582.50,586.50,574.80,579.90
23-Mar-2018,570.00,573.65,561.10,571.20
26-Mar-2018,573.75,579.40,567.80,573.75
27-Mar-2018,579.40,606.95,576.90,603.55
28-Mar-2018,607.90,617.90,590.50,593.90
02-Apr-2018,599.90,605.80,588.00,598.50
03-Apr-2018,596.50,610.70,596.10,608.65
04-Apr-2018,612.40,614.00,595.75,598.30
05-Apr-2018,603.50,609.90,601.55,607.65
06-Apr-2018,608.50,613.55,604.50,608.75
09-Apr-2018,609.50,625.50,607.20,619.55
10-Apr-2018,624.00,627.40,617.05,618.10
11-Apr-2018,618.00,622.80,610.05,613.00
12-Apr-2018,625.25,632.20,616.20,620.15
13-Apr-2018,624.90,628.95,618.45,625.40
16-Apr-2018,624.50,636.50,618.65,628.25
