Date,Open,High,Low,Close
01-Jan-2018,194.00,194.45,191.50,191.75
02-Jan-2018,192.40,193.70,190.05,191.25
03-Jan-2018,192.25,193.05,190.80,191.25
04-Jan-2018,191.50,192.60,190.60,191.45
05-Jan-2018,192.35,196.50,189.50,195.00
08-Jan-2018,195.85,195.85,191.50,192.85
09-Jan-2018,193.35,193.75,191.50,191.90
10-Jan-2018,192.00,192.75,190.40,190.90
11-Jan-2018,191.05,194.25,190.05,192.35
12-Jan-2018,192.50,193.50,189.15,190.20
15-Jan-2018,191.15,192.95,190.70,192.10
16-Jan-2018,192.30,194.15,188.75,189.25
17-Jan-2018,189.50,190.40,186.55,189.95
18-Jan-2018,190.00,191.35,185.50,186.45
19-Jan-2018,186.80,188.50,186.00,187.75
22-Jan-2018,187.70,189.80,187.00,187.90
23-Jan-2018,188.00,190.90,188.00,188.85
24-Jan-2018,188.85,189.60,185.05,187.00
25-Jan-2018,187.65,187.80,182.05,182.90
29-Jan-2018,183.10,187.10,183.10,185.40
30-Jan-2018,186.75,186.80,183.45,184.15
31-Jan-2018,183.10,187.15,182.00,185.40
01-Feb-2018,184.50,187.00,180.65,183.75
02-Feb-2018,182.80,183.70,176.00,179.70
05-Feb-2018,177.00,181.55,173.30,180.75
06-Feb-2018,178.00,185.80,171.50,179.45
07-Feb-2018,185.00,189.35,182.40,187.75
08-Feb-2018,189.50,195.25,188.25,194.65
09-Feb-2018,191.00,197.00,189.60,196.20
12-Feb-2018,198.00,200.00,195.50,198.20
14-Feb-2018,199.00,199.75,196.00,197.80
15-Feb-2018,197.70,198.85,196.00,197.90
16-Feb-2018,197.05,198.20,193.95,195.05
19-Feb-2018,194.70,195.50,189.30,191.70
20-Feb-2018,191.55,193.90,189.60,190.10
21-Feb-2018,191.00,194.00,190.00,193.80
22-Feb-2018,193.70,193.70,187.40,188.25
23-Feb-2018,188.35,194.55,188.25,193.65
26-Feb-2018,193.10,198.80,193.10,198.20
27-Feb-2018,198.70,201.90,196.80,201.40
28-Feb-2018,200.00,202.80,199.05,201.95
01-Mar-2018,201.00,203.90,200.00,201.80
05-Mar-2018,199.95,201.70,197.00,200.80
06-Mar-2018,200.25,204.85,200.00,201.75
07-Mar-2018,201.10,201.30,198.25,199.90
08-Mar-2018,200.00,203.90,197.75,202.75
09-Mar-2018,205.00,206.00,202.35,204.40
12-Mar-2018,205.70,208.15,203.60,207.00
13-Mar-2018,208.45,208.70,204.95,205.75
14-Mar-2018,205.15,209.00,204.00,206.35
15-Mar-2018,206.95,208.00,204.50,205.10
16-Mar-2018,205.00,206.75,204.25,205.15
19-Mar-2018,205.90,206.35,199.00,200.65
20-Mar-2018,200.10,203.50,199.10,202.25
21-Mar-2018,203.05,206.75,201.40,203.30
22-Mar-2018,202.45,203.55,199.40,200.30
23-Mar-2018,198.60,200.25,196.15,199.30
26-Mar-2018,198.10,202.95,196.15,200.95
27-Mar-2018,202.00,204.50,200.75,202.60
28-Mar-2018,201.80,206.00,201.45,204.90
02-Apr-2018,205.70,207.55,204.00,205.00
03-Apr-2018,204.80,206.70,203.75,205.35
04-Apr-2018,205.95,213.95,205.95,207.75
05-Apr-2018,211.40,211.40,206.55,207.95
06-Apr-2018,207.70,209.60,205.55,206.70
09-Apr-2018,207.70,208.85,206.65,207.60
10-Apr-2018,207.80,209.55,205.70,207.75
11-Apr-2018,208.40,208.40,205.00,206.30
12-Apr-2018,206.75,206.75,202.20,205.20
13-Apr-2018,204.55,206.80,204.55,205.95
16-Apr-2018,203.90,205.90,203.50,204.60
