Date,Open,High,Low,Close
01-Jan-2018,341.00,354.00,337.45,347.55
02-Jan-2018,349.50,349.75,336.05,338.85
03-Jan-2018,342.20,346.85,337.50,342.65
04-Jan-2018,348.65,350.00,344.50,349.20
05-Jan-2018,349.95,351.35,342.45,344.30
08-Jan-2018,347.90,349.95,344.00,348.55
09-Jan-2018,351.30,354.90,347.00,348.25
10-Jan-2018,350.00,356.00,348.40,352.55
11-Jan-2018,355.90,363.00,353.00,354.60
12-Jan-2018,357.80,359.90,352.00,355.05
15-Jan-2018,357.70,362.95,355.05,358.35
16-Jan-2018,360.00,360.00,346.50,348.55
17-Jan-2018,345.05,356.00,338.40,352.15
18-Jan-2018,359.90,359.90,337.10,341.25
19-Jan-2018,344.10,350.00,332.55,346.60
22-Jan-2018,350.90,350.90,335.55,339.20
23-Jan-2018,340.50,342.85,331.00,332.60
24-Jan-2018,333.60,338.90,331.90,337.50
25-Jan-2018,340.00,340.95,335.60,339.00
29-Jan-2018,340.00,340.00,320.00,321.15
30-Jan-2018,315.50,334.60,312.05,324.45
31-Jan-2018,327.70,329.00,313.40,321.15
01-Feb-2018,325.00,329.50,314.00,322.90
02-Feb-2018,321.90,325.95,305.00,309.65
05-Feb-2018,291.00,307.00,291.00,303.10
06-Feb-2018,292.00,301.75,284.60,296.65
07-Feb-2018,307.50,339.70,305.10,335.75
08-Feb-2018,337.75,338.90,326.05,326.60
09-Feb-2018,323.00,329.00,318.00,324.20
12-Feb-2018,326.70,331.50,324.90,328.25
14-Feb-2018,333.00,334.00,325.75,328.95
15-Feb-2018,328.50,332.50,323.10,326.10
16-Feb-2018,326.95,329.00,316.55,319.75
19-Feb-2018,324.90,325.25,315.00,318.20
20-Feb-2018,319.00,320.00,312.25,313.55
21-Feb-2018,317.45,317.45,308.85,314.00
22-Feb-2018,313.50,317.90,310.10,313.80
23-Feb-2018,315.00,322.75,312.25,315.15
26-Feb-2018,316.10,328.00,310.50,325.75
27-Feb-2018,329.45,338.40,326.60,332.10
28-Feb-2018,327.10,334.45,323.80,329.40
01-Mar-2018,329.00,336.00,326.10,331.85
05-Mar-2018,331.85,333.80,320.00,329.30
06-Mar-2018,332.45,334.00,318.50,326.85
07-Mar-2018,325.00,325.00,316.00,322.30
08-Mar-2018,319.50,327.90,313.55,323.45
09-Mar-2018,325.50,330.00,321.15,325.90
12-Mar-2018,328.85,330.25,318.95,322.70
13-Mar-2018,321.20,328.00,321.00,326.45
14-Mar-2018,324.05,328.15,321.50,323.95
15-Mar-2018,327.10,336.00,327.10,332.10
16-Mar-2018,332.25,337.15,324.05,326.60
19-Mar-2018,327.85,330.50,321.40,325.25
20-Mar-2018,322.25,325.70,318.10,319.45
21-Mar-2018,321.00,326.40,317.00,321.40
22-Mar-2018,321.40,327.20,321.00,322.05
23-Mar-2018,312.55,317.05,304.10,306.00
26-Mar-2018,306.15,329.00,306.15,323.30
27-Mar-2018,326.80,331.00,317.05,329.25
28-Mar-2018,328.95,331.80,320.15,326.60
02-Apr-2018,327.00,333.70,322.65,331.25
03-Apr-2018,331.00,331.00,325.00,326.45
04-Apr-2018,329.55,336.95,326.05,333.80
05-Apr-2018,338.00,351.00,338.00,349.25
06-Apr-2018,352.50,356.60,349.40,354.45
09-Apr-2018,355.65,363.50,350.55,357.35
10-Apr-2018,358.00,358.80,348.00,349.70
11-Apr-2018,352.00,352.80,343.00,351.10
12-Apr-2018,352.00,357.65,342.80,345.15
13-Apr-2018,347.80,351.00,345.00,346.70
16-Apr-2018,346.00,346.75,337.05,338.35
