Date,Open,High,Low,Close
01-Jan-2018,1054.85,1080.00,1051.10,1064.00
02-Jan-2018,1066.00,1071.15,1045.25,1052.05
03-Jan-2018,1055.00,1073.00,1049.00,1058.00
04-Jan-2018,1067.00,1094.60,1060.10,1090.05
05-Jan-2018,1098.00,1103.90,1077.75,1087.25
08-Jan-2018,1100.00,1135.10,1080.00,1130.25
09-Jan-2018,1130.25,1138.00,1111.55,1122.65
10-Jan-2018,1130.10,1155.00,1130.05,1136.80
11-Jan-2018,1136.00,1190.00,1131.75,1177.20
12-Jan-2018,1185.95,1185.95,1152.00,1158.75
15-Jan-2018,1160.65,1176.35,1153.65,1162.00
16-Jan-2018,1162.00,1162.00,1116.80,1137.45
17-Jan-2018,1135.00,1156.60,1113.00,1137.00
18-Jan-2018,1138.95,1143.45,1098.05,1106.05
19-Jan-2018,1105.00,1130.00,1092.00,1109.05
22-Jan-2018,1108.00,1116.60,1091.10,1111.25
23-Jan-2018,1112.10,1117.20,1098.50,1100.60
24-Jan-2018,1100.60,1108.10,1082.30,1088.05
25-Jan-2018,1075.05,1102.50,1064.00,1069.50
29-Jan-2018,1070.35,1087.10,1047.85,1053.50
30-Jan-2018,1053.50,1080.00,1047.05,1067.25
31-Jan-2018,1066.00,1074.35,1050.00,1054.75
01-Feb-2018,1060.00,1067.75,1019.20,1045.35
02-Feb-2018,1040.10,1040.10,969.95,1000.20
05-Feb-2018,985.50,1007.95,975.55,1000.40
06-Feb-2018,950.00,1002.25,938.00,989.50
07-Feb-2018,1020.00,1021.30,969.30,977.90
08-Feb-2018,977.95,1007.95,974.30,992.30
09-Feb-2018,983.90,1016.85,968.00,1007.60
12-Feb-2018,1009.95,1043.50,1005.10,1035.75
14-Feb-2018,1040.05,1045.80,1020.00,1026.15
15-Feb-2018,1027.00,1034.00,992.25,1007.05
16-Feb-2018,1008.00,1016.00,989.00,1001.70
19-Feb-2018,1004.00,1004.25,974.50,989.00
20-Feb-2018,989.00,993.00,975.05,980.45
21-Feb-2018,985.00,993.75,979.20,985.40
22-Feb-2018,984.00,986.00,970.40,977.05
23-Feb-2018,979.90,1008.00,979.90,1001.70
26-Feb-2018,1006.10,1029.95,1002.00,1017.55
27-Feb-2018,1022.00,1025.20,1002.00,1009.55
28-Feb-2018,1004.10,1030.00,995.10,1023.45
01-Mar-2018,1023.80,1026.15,1002.10,1004.75
05-Mar-2018,1004.80,1004.80,982.20,995.20
06-Mar-2018,996.10,1007.85,975.10,979.55
07-Mar-2018,978.50,985.00,963.00,969.20
08-Mar-2018,960.00,987.90,941.35,984.25
09-Mar-2018,990.00,991.00,973.45,981.80
12-Mar-2018,980.00,987.50,952.60,968.75
13-Mar-2018,966.00,988.50,960.00,982.60
14-Mar-2018,980.45,984.40,962.50,968.75
15-Mar-2018,966.00,975.60,962.00,970.65
16-Mar-2018,969.35,970.90,950.95,956.05
19-Mar-2018,945.55,956.90,912.75,919.75
20-Mar-2018,905.75,925.35,891.00,900.65
21-Mar-2018,899.95,915.00,877.25,880.20
22-Mar-2018,883.00,889.90,861.35,883.65
23-Mar-2018,869.60,885.00,863.00,881.50
26-Mar-2018,881.50,963.35,870.00,954.45
27-Mar-2018,955.00,983.50,937.50,973.25
28-Mar-2018,971.00,999.90,957.05,966.20
02-Apr-2018,973.45,996.50,958.50,987.45
03-Apr-2018,984.50,1013.00,976.60,1004.80
04-Apr-2018,1009.00,1019.00,968.55,976.95
05-Apr-2018,993.70,1007.60,986.75,999.20
06-Apr-2018,997.70,1005.60,988.15,1001.15
09-Apr-2018,1000.05,1023.75,979.55,1018.00
10-Apr-2018,1026.00,1026.50,1000.20,1008.75
11-Apr-2018,1009.90,1024.20,1001.30,1015.60
12-Apr-2018,1013.30,1027.35,1005.60,1015.30
13-Apr-2018,1016.10,1034.00,1015.55,1030.60
16-Apr-2018,1025.50,1042.00,1022.55,1039.10
