Date,Open,High,Low,Close
01-Jan-2018,1095.50,1122.95,1094.65,1102.60
02-Jan-2018,1103.00,1109.80,1084.85,1100.75
03-Jan-2018,1100.75,1111.65,1092.50,1098.35
04-Jan-2018,1106.00,1106.00,1088.90,1094.35
05-Jan-2018,1090.00,1109.00,1089.55,1100.70
08-Jan-2018,1110.00,1121.00,1106.55,1117.70
09-Jan-2018,1119.35,1124.00,1108.50,1120.60
10-Jan-2018,1118.00,1125.10,1113.30,1118.25
11-Jan-2018,1121.50,1133.00,1117.00,1125.05
12-Jan-2018,1123.95,1144.95,1123.55,1139.60
15-Jan-2018,1133.50,1145.00,1133.50,1140.70
16-Jan-2018,1135.05,1148.95,1127.00,1131.15
17-Jan-2018,1132.95,1145.00,1128.00,1141.85
18-Jan-2018,1146.00,1165.25,1142.40,1159.20
19-Jan-2018,1160.00,1164.70,1145.60,1150.95
22-Jan-2018,1150.00,1174.00,1146.95,1172.55
23-Jan-2018,1172.55,1172.55,1146.30,1157.15
24-Jan-2018,1150.00,1164.45,1140.00,1154.30
25-Jan-2018,1152.00,1160.85,1145.25,1151.00
29-Jan-2018,1162.90,1165.30,1130.40,1148.80
30-Jan-2018,1145.00,1150.25,1135.05,1138.60
31-Jan-2018,1135.00,1142.00,1116.65,1121.35
01-Feb-2018,1126.00,1135.15,1113.00,1130.45
02-Feb-2018,1124.00,1139.95,1113.10,1117.65
05-Feb-2018,1101.00,1138.45,1088.00,1122.65
06-Feb-2018,1102.00,1107.20,1082.00,1100.20
07-Feb-2018,1110.00,1111.95,1093.55,1099.25
08-Feb-2018,1105.50,1113.70,1098.55,1100.85
09-Feb-2018,1098.00,1110.00,1089.30,1100.85
12-Feb-2018,1109.00,1109.00,1088.15,1093.90
14-Feb-2018,1095.00,1102.50,1087.50,1096.35
15-Feb-2018,1101.00,1104.80,1084.10,1088.85
16-Feb-2018,1095.00,1095.25,1068.20,1076.55
19-Feb-2018,1072.00,1087.95,1060.00,1072.60
20-Feb-2018,1077.00,1077.00,1064.05,1067.75
21-Feb-2018,1068.00,1088.95,1067.10,1080.75
22-Feb-2018,1087.00,1087.00,1034.00,1042.15
23-Feb-2018,1045.00,1059.40,1042.50,1049.80
26-Feb-2018,1059.00,1060.50,1048.00,1052.85
27-Feb-2018,1053.25,1064.70,1043.65,1049.15
28-Feb-2018,1049.00,1049.00,1029.00,1041.10
01-Mar-2018,1043.95,1070.00,1038.15,1056.90
05-Mar-2018,1054.95,1054.95,1039.00,1048.30
06-Mar-2018,1052.90,1052.90,1036.00,1038.45
07-Mar-2018,1039.70,1052.70,1030.00,1046.20
08-Mar-2018,1048.90,1050.05,1030.15,1037.05
09-Mar-2018,1038.10,1051.95,1036.00,1037.65
12-Mar-2018,1038.00,1053.50,1034.60,1043.95
13-Mar-2018,1047.00,1050.00,1037.95,1044.90
14-Mar-2018,1046.00,1046.00,1029.50,1034.60
15-Mar-2018,1041.00,1046.20,1032.00,1042.35
16-Mar-2018,1043.70,1047.90,1035.05,1044.45
19-Mar-2018,1045.00,1045.05,1020.90,1034.00
20-Mar-2018,1033.00,1044.25,1022.05,1040.65
21-Mar-2018,1049.50,1051.50,1039.45,1042.90
22-Mar-2018,1042.00,1051.80,1023.20,1045.20
23-Mar-2018,1037.00,1043.00,1030.45,1037.20
26-Mar-2018,1043.50,1046.50,1035.75,1043.75
27-Mar-2018,1048.00,1048.00,1036.35,1043.95
28-Mar-2018,1040.00,1064.00,1040.00,1056.90
02-Apr-2018,1062.90,1068.80,1050.25,1057.20
03-Apr-2018,1059.00,1087.00,1058.25,1085.00
04-Apr-2018,1086.00,1097.00,1077.05,1091.40
05-Apr-2018,1099.95,1099.95,1080.15,1091.35
06-Apr-2018,1094.00,1108.60,1083.90,1096.40
09-Apr-2018,1088.00,1101.45,1088.00,1095.30
10-Apr-2018,1100.00,1100.00,1083.45,1091.40
11-Apr-2018,1091.00,1100.50,1087.75,1095.65
12-Apr-2018,1099.50,1109.10,1092.40,1102.90
13-Apr-2018,1098.00,1105.00,1089.25,1097.15
16-Apr-2018,1090.00,1102.50,1087.55,1099.25
