Date,Open,High,Low,Close
01-Jan-2018,268.80,277.40,268.40,273.45
02-Jan-2018,271.60,281.00,267.00,276.80
03-Jan-2018,277.00,277.95,267.10,268.10
04-Jan-2018,270.00,271.90,265.05,270.00
05-Jan-2018,270.00,275.70,268.00,272.60
08-Jan-2018,274.00,278.90,272.10,274.15
09-Jan-2018,274.00,274.95,269.50,271.85
10-Jan-2018,273.00,273.00,263.00,264.70
11-Jan-2018,264.70,268.70,263.65,264.85
12-Jan-2018,267.00,272.65,261.10,266.70
15-Jan-2018,268.80,270.00,265.00,267.25
16-Jan-2018,266.50,268.45,262.05,264.00
17-Jan-2018,263.95,263.95,261.00,262.05
18-Jan-2018,262.55,267.70,258.00,260.50
19-Jan-2018,265.85,266.20,261.15,262.25
22-Jan-2018,263.90,263.90,260.50,260.70
23-Jan-2018,260.25,263.00,257.60,258.60
24-Jan-2018,259.75,261.50,254.95,256.20
25-Jan-2018,256.45,262.50,255.80,259.95
29-Jan-2018,260.00,262.70,258.35,261.00
30-Jan-2018,258.05,261.00,253.00,254.85
31-Jan-2018,251.75,262.95,247.25,249.75
01-Feb-2018,250.20,253.90,239.30,243.60
02-Feb-2018,242.10,242.10,230.50,235.30
05-Feb-2018,232.10,239.90,228.00,236.35
06-Feb-2018,228.15,232.75,213.90,230.75
07-Feb-2018,233.35,250.00,232.30,247.40
08-Feb-2018,248.00,257.85,244.50,255.35
09-Feb-2018,250.00,252.70,243.00,250.65
12-Feb-2018,254.00,258.85,252.80,257.40
14-Feb-2018,259.00,261.75,250.60,252.05
15-Feb-2018,268.00,270.05,246.55,250.45
16-Feb-2018,253.00,254.50,241.10,244.05
19-Feb-2018,244.00,244.15,234.80,236.25
20-Feb-2018,237.50,239.70,235.00,236.70
21-Feb-2018,239.95,242.00,233.55,234.60
22-Feb-2018,233.00,239.95,230.55,234.95
23-Feb-2018,237.00,240.40,236.30,239.75
26-Feb-2018,241.20,245.00,240.15,241.80
27-Feb-2018,242.05,242.60,238.00,238.95
28-Feb-2018,236.50,241.75,236.10,238.75
01-Mar-2018,237.05,247.40,237.05,241.05
05-Mar-2018,239.00,253.70,239.00,249.85
06-Mar-2018,251.35,255.00,244.00,249.75
07-Mar-2018,249.00,256.00,247.05,253.80
08-Mar-2018,253.80,260.00,252.00,255.30
09-Mar-2018,257.00,257.50,251.10,253.05
12-Mar-2018,254.75,257.40,249.05,250.60
13-Mar-2018,251.50,254.50,248.10,250.10
14-Mar-2018,249.85,251.95,244.35,249.50
15-Mar-2018,249.60,256.50,248.00,251.25
16-Mar-2018,253.10,253.10,232.10,236.00
19-Mar-2018,242.30,243.00,236.15,238.05
20-Mar-2018,237.00,240.50,234.05,236.30
21-Mar-2018,238.00,247.00,238.00,243.80
22-Mar-2018,245.85,247.50,238.05,240.80
23-Mar-2018,237.00,239.00,231.60,234.15
26-Mar-2018,235.30,235.65,230.70,232.25
27-Mar-2018,235.15,235.80,231.75,232.70
28-Mar-2018,231.50,233.30,226.55,228.00
02-Apr-2018,230.60,235.60,228.50,233.90
03-Apr-2018,231.35,240.00,231.35,233.55
04-Apr-2018,234.90,238.45,232.00,233.55
05-Apr-2018,236.90,238.00,235.20,236.65
06-Apr-2018,238.45,240.00,235.20,236.25
09-Apr-2018,237.35,240.55,237.05,238.50
10-Apr-2018,240.00,240.00,237.25,238.80
11-Apr-2018,239.50,239.60,235.00,237.85
12-Apr-2018,237.35,238.80,234.35,235.95
13-Apr-2018,235.50,236.80,235.00,235.65
16-Apr-2018,236.90,247.25,233.30,243.85
