Date,Open,High,Low,Close
01-Jan-2018,351.00,351.85,347.70,349.00
02-Jan-2018,351.00,352.00,346.45,349.05
03-Jan-2018,350.00,360.90,349.25,354.65
04-Jan-2018,354.15,356.00,353.65,355.00
05-Jan-2018,356.00,360.00,352.10,358.20
08-Jan-2018,358.20,362.25,358.00,361.35
09-Jan-2018,361.00,361.05,354.65,359.35
10-Jan-2018,359.95,362.35,356.10,357.80
11-Jan-2018,357.45,361.25,356.00,359.90
12-Jan-2018,359.80,360.90,356.65,358.15
15-Jan-2018,360.30,363.85,359.00,361.25
16-Jan-2018,363.00,363.00,355.20,358.40
17-Jan-2018,355.55,361.95,352.00,358.90
18-Jan-2018,365.00,368.60,361.35,364.65
19-Jan-2018,362.30,367.35,358.70,363.80
22-Jan-2018,365.15,368.45,361.30,363.10
23-Jan-2018,364.40,367.25,360.35,364.00
24-Jan-2018,363.80,365.80,358.50,359.20
25-Jan-2018,359.10,364.50,352.00,353.75
29-Jan-2018,354.35,361.00,354.35,359.70
30-Jan-2018,359.50,362.00,356.60,358.60
31-Jan-2018,359.35,360.80,346.65,355.60
01-Feb-2018,357.35,358.85,348.50,349.70
02-Feb-2018,348.00,353.85,340.20,344.45
05-Feb-2018,348.20,349.00,337.10,339.10
06-Feb-2018,330.60,341.65,326.00,339.25
07-Feb-2018,342.15,347.00,337.05,338.35
08-Feb-2018,339.50,342.50,337.20,340.30
09-Feb-2018,337.50,343.45,336.00,340.55
12-Feb-2018,344.85,346.50,340.90,344.75
14-Feb-2018,344.50,347.60,339.55,340.75
15-Feb-2018,342.55,344.65,339.00,339.60
16-Feb-2018,343.40,344.75,341.40,342.75
19-Feb-2018,342.90,344.00,338.60,339.35
20-Feb-2018,339.25,345.00,339.25,340.70
21-Feb-2018,341.70,343.10,333.30,334.50
22-Feb-2018,335.75,335.80,326.30,327.10
23-Feb-2018,329.80,334.40,324.60,330.60
26-Feb-2018,335.00,337.40,331.15,331.75
27-Feb-2018,332.05,334.20,326.35,328.10
28-Feb-2018,328.05,328.05,323.65,325.05
01-Mar-2018,326.40,327.55,323.75,325.20
05-Mar-2018,326.00,327.20,322.10,325.00
06-Mar-2018,326.35,329.60,321.00,322.70
07-Mar-2018,321.20,326.80,321.10,323.40
08-Mar-2018,325.30,328.90,318.90,325.05
09-Mar-2018,328.60,334.90,325.05,327.25
12-Mar-2018,330.05,333.60,327.15,327.75
13-Mar-2018,327.75,333.05,324.35,325.15
14-Mar-2018,325.00,326.90,323.00,325.00
15-Mar-2018,325.10,327.65,324.50,325.05
16-Mar-2018,325.05,326.45,320.45,321.25
19-Mar-2018,321.55,325.80,318.05,319.70
20-Mar-2018,319.00,321.85,314.65,319.35
21-Mar-2018,320.00,326.40,317.70,322.45
22-Mar-2018,320.80,324.00,315.25,316.95
23-Mar-2018,312.85,320.85,311.95,318.20
26-Mar-2018,319.80,321.10,314.80,315.55
27-Mar-2018,317.10,327.50,317.10,324.85
28-Mar-2018,323.70,334.60,322.70,328.40
02-Apr-2018,329.00,337.80,326.20,335.90
03-Apr-2018,333.95,339.15,333.65,337.70
04-Apr-2018,338.00,341.50,334.00,335.50
05-Apr-2018,337.25,339.15,335.45,336.90
06-Apr-2018,338.00,344.00,336.40,342.85
09-Apr-2018,345.00,345.90,340.65,342.20
10-Apr-2018,344.75,344.75,335.50,337.05
11-Apr-2018,337.05,345.40,336.25,344.40
12-Apr-2018,344.95,347.00,342.50,345.00
13-Apr-2018,345.20,346.90,339.45,340.45
16-Apr-2018,340.70,344.45,339.70,343.50
