Date,Open,High,Low,Close
01-Jan-2018,159.95,163.25,156.25,157.40
02-Jan-2018,157.00,158.40,152.80,154.75
03-Jan-2018,155.55,170.90,155.35,163.25
04-Jan-2018,163.85,166.25,163.15,164.05
05-Jan-2018,165.80,171.25,162.25,163.30
08-Jan-2018,164.80,167.80,155.10,163.50
09-Jan-2018,164.35,167.00,160.80,165.60
10-Jan-2018,165.40,166.45,161.25,162.45
11-Jan-2018,159.80,161.00,144.90,148.90
12-Jan-2018,149.95,152.45,143.55,144.65
15-Jan-2018,146.55,148.70,144.20,146.25
16-Jan-2018,146.55,148.20,139.00,140.30
17-Jan-2018,141.80,146.25,139.35,144.05
18-Jan-2018,145.80,148.35,139.40,144.10
19-Jan-2018,146.25,147.65,144.15,145.45
22-Jan-2018,145.10,148.50,145.10,147.20
23-Jan-2018,147.80,151.95,146.10,150.50
24-Jan-2018,151.40,156.00,149.80,153.85
25-Jan-2018,153.40,158.50,153.00,157.30
29-Jan-2018,160.00,160.05,146.10,147.50
30-Jan-2018,147.60,149.90,146.00,146.90
31-Jan-2018,147.10,147.50,135.15,139.05
01-Feb-2018,136.50,137.00,125.15,132.60
02-Feb-2018,132.00,135.90,125.30,126.45
05-Feb-2018,125.00,125.00,117.20,118.45
06-Feb-2018,112.00,117.00,107.10,114.20
07-Feb-2018,117.50,124.75,116.75,123.75
08-Feb-2018,123.60,128.30,121.00,126.05
09-Feb-2018,125.00,156.70,125.00,148.60
12-Feb-2018,148.55,152.70,137.80,139.00
14-Feb-2018,145.00,145.65,140.10,142.45
15-Feb-2018,142.60,149.00,135.15,143.40
16-Feb-2018,145.00,151.00,116.15,137.50
19-Feb-2018,133.20,148.00,131.50,146.40
20-Feb-2018,150.50,155.60,135.50,153.60
21-Feb-2018,151.50,159.00,148.20,155.50
22-Feb-2018,155.00,155.85,145.00,146.30
23-Feb-2018,144.55,167.40,143.65,159.95
26-Feb-2018,160.05,163.15,154.10,159.90
27-Feb-2018,161.00,162.45,154.55,155.60
28-Feb-2018,153.60,160.80,153.00,159.80
01-Mar-2018,159.00,167.45,157.00,161.05
05-Mar-2018,158.45,167.00,152.10,163.30
06-Mar-2018,163.80,167.25,158.50,161.35
07-Mar-2018,160.75,161.50,145.55,147.55
08-Mar-2018,150.65,154.75,146.05,148.15
09-Mar-2018,151.25,151.25,144.00,145.40
12-Mar-2018,148.00,150.25,146.05,149.30
13-Mar-2018,148.50,154.00,147.95,152.55
14-Mar-2018,155.50,161.00,155.50,158.80
15-Mar-2018,159.70,162.80,158.70,160.25
16-Mar-2018,161.00,161.65,155.10,155.90
19-Mar-2018,156.00,158.35,151.60,153.50
20-Mar-2018,150.60,157.75,150.60,156.65
21-Mar-2018,159.00,159.00,155.10,155.95
22-Mar-2018,156.00,157.20,153.45,154.60
23-Mar-2018,151.00,153.50,138.20,143.50
26-Mar-2018,144.00,149.25,138.10,147.65
27-Mar-2018,152.00,153.90,140.65,142.25
28-Mar-2018,133.50,136.80,120.45,123.35
02-Apr-2018,125.95,129.55,124.35,128.15
03-Apr-2018,127.65,131.90,124.80,129.95
04-Apr-2018,130.80,133.50,127.55,128.50
05-Apr-2018,131.00,138.80,128.20,137.85
06-Apr-2018,139.00,144.95,134.60,138.80
09-Apr-2018,139.60,144.90,138.60,141.80
10-Apr-2018,142.90,147.90,138.85,146.60
11-Apr-2018,152.00,152.00,144.30,147.85
12-Apr-2018,147.50,154.70,147.50,153.90
13-Apr-2018,156.80,157.40,150.10,152.05
16-Apr-2018,152.00,152.65,147.00,148.75
