Date,Open,High,Low,Close
01-Jan-2018,6834.55,6890.00,6750.00,6771.75
02-Jan-2018,6745.00,6844.00,6745.00,6762.95
03-Jan-2018,6827.95,6827.95,6715.00,6746.10
04-Jan-2018,6748.25,6810.00,6686.85,6749.80
05-Jan-2018,6829.55,6829.55,6700.00,6725.00
08-Jan-2018,6820.00,6820.00,6700.00,6730.05
09-Jan-2018,6857.85,6857.85,6707.00,6717.00
10-Jan-2018,6714.30,6829.85,6675.00,6700.35
11-Jan-2018,6703.80,6772.75,6681.00,6719.35
12-Jan-2018,6700.35,6718.40,6625.60,6642.50
15-Jan-2018,6663.15,6738.95,6602.00,6649.05
16-Jan-2018,6715.45,6715.45,6655.00,6683.00
17-Jan-2018,6622.00,6669.50,6612.10,6650.75
18-Jan-2018,6717.25,6717.25,6601.05,6606.25
19-Jan-2018,6694.85,6772.95,6600.00,6682.35
22-Jan-2018,6699.95,6699.95,6601.00,6621.85
23-Jan-2018,6624.20,6650.00,6551.00,6588.90
24-Jan-2018,6590.00,6680.00,6523.10,6627.35
25-Jan-2018,6698.00,6698.00,6560.00,6637.00
29-Jan-2018,6687.45,6720.00,6640.65,6699.95
30-Jan-2018,6728.55,6728.65,6616.10,6704.50
31-Jan-2018,6622.00,6698.80,6533.05,6554.75
01-Feb-2018,6649.95,6649.95,6451.00,6550.85
02-Feb-2018,6453.10,6542.00,6350.00,6449.75
05-Feb-2018,6350.00,6449.75,6350.00,6390.20
06-Feb-2018,6214.00,6528.00,6140.00,6438.65
07-Feb-2018,6440.00,6550.00,6411.35,6438.80
08-Feb-2018,6453.35,6525.00,6449.90,6495.25
09-Feb-2018,6475.05,6690.25,6342.00,6546.10
12-Feb-2018,6475.00,6598.90,6475.00,6536.20
14-Feb-2018,6591.80,6848.00,6501.00,6707.30
15-Feb-2018,6774.35,6774.35,6590.25,6643.15
16-Feb-2018,6700.00,6782.00,6640.00,6700.40
19-Feb-2018,6760.00,6825.00,6612.00,6717.10
20-Feb-2018,6685.00,6767.90,6685.00,6743.40
21-Feb-2018,6676.00,6749.50,6651.00,6693.50
22-Feb-2018,6700.00,6710.00,6633.00,6666.95
23-Feb-2018,6640.10,6689.00,6601.00,6646.05
26-Feb-2018,6709.00,6709.00,6625.00,6649.95
27-Feb-2018,6622.00,6697.90,6622.00,6649.35
28-Feb-2018,6625.00,6670.00,6602.00,6651.60
01-Mar-2018,6648.95,6650.00,6610.65,6647.70
05-Mar-2018,6729.00,6729.00,6588.00,6664.10
06-Mar-2018,6657.70,6657.70,6560.20,6605.90
07-Mar-2018,6667.00,6697.40,6461.25,6617.00
08-Mar-2018,6600.00,6650.00,6551.00,6643.80
09-Mar-2018,6587.00,6632.60,6551.05,6571.45
12-Mar-2018,6551.00,6624.95,6534.15,6599.65
13-Mar-2018,6649.65,6649.70,6555.10,6608.25
14-Mar-2018,6595.05,6638.95,6579.60,6596.35
15-Mar-2018,6558.25,6644.50,6547.50,6608.25
16-Mar-2018,6610.00,6610.00,6402.10,6430.65
19-Mar-2018,6487.95,6487.95,6370.20,6438.30
20-Mar-2018,6401.00,6465.00,6371.80,6458.95
21-Mar-2018,6449.20,6499.00,6401.00,6464.25
22-Mar-2018,6402.50,6499.00,6400.10,6461.45
23-Mar-2018,6351.00,6455.35,6306.05,6417.90
26-Mar-2018,6373.00,6565.55,6321.15,6433.55
27-Mar-2018,6533.95,6565.00,6435.20,6534.60
28-Mar-2018,6520.00,6600.00,6515.35,6557.55
02-Apr-2018,6557.55,6644.00,6511.35,6595.25
03-Apr-2018,6590.00,6598.00,6535.35,6565.35
04-Apr-2018,6557.60,6582.50,6474.45,6539.70
05-Apr-2018,6614.00,6614.00,6522.30,6575.05
06-Apr-2018,6593.55,6600.00,6530.00,6559.35
09-Apr-2018,6578.15,6579.55,6542.00,6549.90
10-Apr-2018,6549.50,6577.00,6472.70,6498.50
11-Apr-2018,6456.20,6566.00,6456.20,6546.30
12-Apr-2018,6542.00,6558.95,6515.00,6549.30
13-Apr-2018,6526.05,6570.00,6526.05,6548.40
16-Apr-2018,6537.95,6550.00,6513.05,6549.45
