Date,Open,High,Low,Close
01-Jan-2018,22.70,23.55,22.15,22.30
02-Jan-2018,22.50,22.90,20.95,21.65
03-Jan-2018,21.55,22.30,21.45,21.80
04-Jan-2018,21.95,22.05,20.95,21.05
05-Jan-2018,21.20,21.65,21.00,21.20
08-Jan-2018,21.35,22.75,21.10,22.00
09-Jan-2018,22.15,22.25,21.00,21.20
10-Jan-2018,21.25,22.60,21.25,22.30
11-Jan-2018,22.50,22.75,21.60,21.75
12-Jan-2018,21.70,21.95,20.60,21.00
15-Jan-2018,21.30,22.35,21.10,22.10
16-Jan-2018,22.30,23.60,21.85,22.50
17-Jan-2018,22.85,24.40,22.35,24.10
18-Jan-2018,24.40,25.05,22.30,22.75
19-Jan-2018,22.90,23.35,22.15,22.65
22-Jan-2018,22.70,23.45,22.55,22.95
23-Jan-2018,23.30,24.25,23.25,23.85
24-Jan-2018,23.95,24.15,23.00,23.10
25-Jan-2018,23.35,23.40,22.35,22.75
29-Jan-2018,22.75,23.45,22.50,22.70
30-Jan-2018,22.55,22.75,21.90,22.05
31-Jan-2018,22.00,22.50,21.55,21.75
01-Feb-2018,21.80,23.90,21.05,22.75
02-Feb-2018,22.40,22.40,17.70,19.25
05-Feb-2018,18.80,20.40,18.15,20.15
06-Feb-2018,18.20,19.70,18.20,19.35
07-Feb-2018,19.80,20.20,19.00,19.10
08-Feb-2018,19.10,19.70,19.00,19.35
09-Feb-2018,19.00,19.90,18.55,19.55
12-Feb-2018,19.85,20.55,19.65,20.05
14-Feb-2018,19.85,20.30,19.50,19.75
15-Feb-2018,19.70,19.80,18.35,18.70
16-Feb-2018,18.90,19.10,18.15,18.30
19-Feb-2018,18.45,18.60,17.30,17.85
20-Feb-2018,17.60,18.35,17.50,17.65
21-Feb-2018,17.75,17.95,17.20,17.30
22-Feb-2018,17.25,17.90,17.25,17.55
23-Feb-2018,17.70,19.00,17.60,18.75
26-Feb-2018,19.50,19.50,18.75,19.05
27-Feb-2018,19.20,19.20,18.60,18.75
28-Feb-2018,18.60,19.40,18.45,18.95
01-Mar-2018,18.90,19.20,18.50,18.60
05-Mar-2018,18.65,18.85,18.00,18.55
06-Mar-2018,18.75,18.90,17.65,18.00
07-Mar-2018,17.95,18.15,17.20,17.35
08-Mar-2018,17.50,17.75,16.80,17.35
09-Mar-2018,17.30,17.50,17.00,17.10
12-Mar-2018,17.30,17.60,16.75,17.45
13-Mar-2018,17.30,17.75,17.20,17.55
14-Mar-2018,17.45,18.20,17.35,18.00
15-Mar-2018,17.95,18.65,17.90,18.45
16-Mar-2018,18.60,18.75,17.70,17.95
19-Mar-2018,18.20,18.30,17.45,17.60
20-Mar-2018,17.55,18.00,17.35,17.80
21-Mar-2018,17.95,18.15,17.75,17.95
22-Mar-2018,17.95,18.10,17.30,17.50
23-Mar-2018,17.00,17.15,16.30,16.70
26-Mar-2018,16.85,17.10,16.50,17.00
27-Mar-2018,17.25,17.70,17.15,17.55
28-Mar-2018,17.45,17.60,16.70,16.85
02-Apr-2018,17.25,17.50,17.05,17.45
03-Apr-2018,17.25,18.70,17.20,18.55
04-Apr-2018,18.55,19.25,18.10,18.25
05-Apr-2018,18.80,19.10,18.65,18.85
06-Apr-2018,18.80,20.25,18.60,20.10
09-Apr-2018,20.00,21.00,19.90,20.65
10-Apr-2018,20.85,21.00,20.25,20.80
11-Apr-2018,21.00,21.40,20.55,20.75
12-Apr-2018,20.70,20.95,19.65,19.75
13-Apr-2018,19.85,20.35,19.70,20.20
16-Apr-2018,20.05,20.50,19.75,20.25
