Date,Open,High,Low,Close
01-Jan-2018,340.00,360.00,337.60,354.70
02-Jan-2018,357.90,361.25,350.00,357.90
03-Jan-2018,360.90,361.00,358.00,359.90
04-Jan-2018,364.80,387.55,360.00,371.25
05-Jan-2018,369.50,377.00,367.05,371.25
08-Jan-2018,379.90,385.35,370.35,380.65
09-Jan-2018,381.00,383.00,371.05,380.20
10-Jan-2018,379.00,401.10,374.00,383.40
11-Jan-2018,388.00,390.00,382.60,388.95
12-Jan-2018,389.10,392.50,378.55,382.35
15-Jan-2018,387.75,395.00,381.05,384.70
16-Jan-2018,388.70,393.80,377.05,379.90
17-Jan-2018,377.15,382.15,355.00,379.75
18-Jan-2018,380.00,382.00,356.00,364.45
19-Jan-2018,367.70,378.05,357.05,371.35
22-Jan-2018,376.70,376.70,367.35,372.85
23-Jan-2018,376.00,382.05,364.35,379.25
24-Jan-2018,384.45,390.05,373.50,387.75
25-Jan-2018,387.75,387.75,376.00,379.45
29-Jan-2018,382.00,389.00,365.00,369.15
30-Jan-2018,369.00,372.35,355.15,357.55
31-Jan-2018,357.50,362.55,342.00,344.30
01-Feb-2018,345.00,350.00,336.00,339.45
02-Feb-2018,340.00,340.05,325.30,333.50
05-Feb-2018,330.00,339.65,315.00,324.95
06-Feb-2018,315.00,329.00,309.00,315.45
07-Feb-2018,322.00,350.10,322.00,337.10
08-Feb-2018,337.00,369.00,332.55,363.10
09-Feb-2018,351.00,374.40,350.15,367.35
12-Feb-2018,368.00,375.50,363.20,365.85
14-Feb-2018,372.85,378.00,363.35,370.75
15-Feb-2018,372.00,374.70,366.00,368.20
16-Feb-2018,365.05,374.50,350.00,365.40
19-Feb-2018,370.00,370.00,345.50,350.15
20-Feb-2018,357.70,357.70,347.00,350.25
21-Feb-2018,354.95,354.95,342.30,347.25
22-Feb-2018,348.25,353.45,340.15,343.15
23-Feb-2018,349.95,351.00,336.35,347.65
26-Feb-2018,348.00,350.90,341.40,344.90
27-Feb-2018,349.75,349.75,341.00,346.35
28-Feb-2018,346.30,348.90,341.05,343.65
01-Mar-2018,348.20,350.00,338.25,340.75
05-Mar-2018,341.00,342.00,331.50,337.70
06-Mar-2018,341.85,341.85,334.00,336.60
07-Mar-2018,334.05,334.30,326.00,327.10
08-Mar-2018,333.90,333.90,318.90,327.35
09-Mar-2018,330.00,333.00,323.90,327.15
12-Mar-2018,329.50,340.00,318.45,323.60
13-Mar-2018,326.50,327.70,322.00,326.00
14-Mar-2018,322.05,339.60,317.50,332.95
15-Mar-2018,333.10,338.95,329.45,334.85
16-Mar-2018,330.15,335.00,328.00,334.75
19-Mar-2018,337.00,337.00,323.35,334.45
20-Mar-2018,332.95,332.95,326.95,329.10
21-Mar-2018,336.30,359.95,320.55,334.45
22-Mar-2018,340.00,349.50,322.50,330.55
23-Mar-2018,322.00,326.80,317.00,324.65
26-Mar-2018,328.70,328.70,317.00,319.25
27-Mar-2018,320.05,324.75,310.20,314.30
28-Mar-2018,315.10,318.50,303.00,305.00
02-Apr-2018,310.00,317.85,306.20,313.85
03-Apr-2018,313.85,316.85,310.00,314.85
04-Apr-2018,316.90,320.75,311.35,318.85
05-Apr-2018,325.00,325.00,320.00,321.20
06-Apr-2018,324.00,324.50,317.10,318.95
09-Apr-2018,319.00,324.90,318.00,319.55
10-Apr-2018,320.05,324.00,316.30,319.15
11-Apr-2018,317.50,323.00,316.10,321.95
12-Apr-2018,324.95,324.95,316.85,318.70
13-Apr-2018,323.25,327.95,317.60,318.90
16-Apr-2018,319.00,320.05,313.95,315.25
