Date,Open,High,Low,Close
01-Jan-2018,987.00,997.00,975.05,982.55
02-Jan-2018,977.95,1019.00,960.00,1003.05
03-Jan-2018,999.50,1004.90,985.60,997.10
04-Jan-2018,999.90,1005.90,990.00,999.35
05-Jan-2018,991.00,994.95,971.00,973.25
08-Jan-2018,973.25,989.00,965.00,986.20
09-Jan-2018,975.25,1015.10,975.25,1000.00
10-Jan-2018,987.00,999.90,970.30,980.35
11-Jan-2018,972.00,992.00,970.00,973.20
12-Jan-2018,983.85,983.85,915.30,931.05
15-Jan-2018,933.00,948.70,915.00,929.55
16-Jan-2018,947.95,947.95,878.15,894.55
17-Jan-2018,888.00,899.00,861.25,882.35
18-Jan-2018,899.70,1014.00,881.25,916.40
19-Jan-2018,920.00,939.95,896.90,923.25
22-Jan-2018,932.80,932.80,896.00,899.15
23-Jan-2018,908.00,914.00,885.15,893.25
24-Jan-2018,909.00,909.00,876.00,895.20
25-Jan-2018,899.90,907.95,883.00,900.70
29-Jan-2018,900.00,908.75,893.00,902.55
30-Jan-2018,900.05,913.00,888.80,907.85
31-Jan-2018,892.05,917.90,892.05,900.60
01-Feb-2018,891.00,909.90,891.00,904.10
02-Feb-2018,904.10,911.00,851.00,875.95
05-Feb-2018,858.45,912.00,830.30,895.75
06-Feb-2018,870.00,909.90,855.00,896.15
07-Feb-2018,910.00,941.55,906.00,928.45
08-Feb-2018,928.00,1030.00,926.45,1012.70
09-Feb-2018,951.00,1082.00,951.00,1075.05
12-Feb-2018,1075.05,1100.00,1034.25,1039.65
14-Feb-2018,1045.60,1080.00,1035.00,1052.50
15-Feb-2018,1053.00,1056.00,983.20,985.55
16-Feb-2018,997.65,997.65,960.05,987.25
19-Feb-2018,990.00,992.00,968.80,979.25
20-Feb-2018,966.00,1037.00,964.85,1010.15
21-Feb-2018,1020.00,1039.00,989.95,1000.30
22-Feb-2018,996.20,1000.00,981.15,985.00
23-Feb-2018,999.80,999.80,982.00,985.50
26-Feb-2018,985.50,1018.00,980.05,999.25
27-Feb-2018,990.30,1015.00,990.00,994.85
28-Feb-2018,980.10,1005.50,954.00,997.20
01-Mar-2018,997.25,999.95,976.00,980.45
05-Mar-2018,988.00,988.00,976.85,981.10
06-Mar-2018,984.85,989.70,972.00,978.10
07-Mar-2018,980.00,983.00,975.00,978.25
08-Mar-2018,975.95,978.95,927.05,942.45
09-Mar-2018,942.00,974.95,933.00,963.90
12-Mar-2018,987.95,997.00,920.50,924.35
13-Mar-2018,921.35,951.60,921.35,946.35
14-Mar-2018,957.90,957.90,932.05,949.20
15-Mar-2018,952.85,965.00,943.05,945.00
16-Mar-2018,958.80,962.35,938.45,944.95
19-Mar-2018,940.00,940.00,909.00,920.00
20-Mar-2018,934.90,940.00,918.00,929.85
21-Mar-2018,929.50,935.10,920.00,924.55
22-Mar-2018,948.00,948.00,910.00,920.00
23-Mar-2018,916.70,918.00,891.30,903.15
26-Mar-2018,891.05,920.00,873.00,914.25
27-Mar-2018,905.15,915.20,890.00,914.75
28-Mar-2018,909.00,915.15,899.85,914.25
02-Apr-2018,916.00,919.15,876.00,881.25
03-Apr-2018,893.75,914.95,876.05,907.10
04-Apr-2018,907.10,929.50,907.10,914.45
05-Apr-2018,921.00,933.00,901.10,908.30
06-Apr-2018,916.80,916.85,905.00,910.05
09-Apr-2018,924.85,924.90,902.15,915.35
10-Apr-2018,934.00,939.00,912.00,916.70
11-Apr-2018,937.65,937.80,905.00,913.35
12-Apr-2018,920.00,929.00,904.30,914.05
13-Apr-2018,915.00,915.00,892.60,905.80
16-Apr-2018,901.90,917.00,901.00,914.70
