Date,Open,High,Low,Close
01-Jan-2018,889.00,890.70,875.95,878.70
02-Jan-2018,876.90,895.00,876.85,892.80
03-Jan-2018,893.00,907.80,893.00,897.30
04-Jan-2018,896.00,899.45,883.05,893.10
05-Jan-2018,888.25,903.00,882.30,900.05
08-Jan-2018,900.15,903.40,895.10,900.50
09-Jan-2018,900.50,902.85,885.00,893.85
10-Jan-2018,892.00,918.00,891.10,915.85
11-Jan-2018,919.00,924.90,910.05,916.90
12-Jan-2018,918.50,928.00,912.25,925.90
15-Jan-2018,925.00,931.10,905.50,909.25
16-Jan-2018,914.10,955.00,910.00,949.25
17-Jan-2018,950.00,963.60,943.30,952.85
18-Jan-2018,953.00,959.65,940.50,954.25
19-Jan-2018,957.00,967.00,946.15,958.30
22-Jan-2018,960.00,974.90,945.00,966.35
23-Jan-2018,969.95,1000.00,968.55,995.35
24-Jan-2018,994.00,1040.70,992.00,1018.45
25-Jan-2018,1018.80,1020.00,990.05,1009.55
29-Jan-2018,1010.00,1021.00,1005.05,1012.05
30-Jan-2018,1017.50,1017.50,998.00,1000.40
31-Jan-2018,999.95,1017.90,981.70,986.55
01-Feb-2018,982.10,1014.95,969.00,984.90
02-Feb-2018,980.00,1007.70,977.85,990.90
05-Feb-2018,990.00,1001.80,980.00,993.15
06-Feb-2018,964.95,968.75,948.05,953.85
07-Feb-2018,958.20,959.00,922.00,938.55
08-Feb-2018,945.75,963.00,937.50,944.35
09-Feb-2018,935.00,970.60,922.55,964.00
12-Feb-2018,965.50,972.75,937.35,939.15
14-Feb-2018,939.80,959.80,930.30,937.80
15-Feb-2018,944.00,949.65,932.00,939.70
16-Feb-2018,945.00,970.95,931.00,937.10
19-Feb-2018,937.85,939.70,900.10,914.20
20-Feb-2018,916.00,925.20,905.00,907.45
21-Feb-2018,918.00,947.80,912.00,942.90
22-Feb-2018,943.00,963.00,931.55,941.00
23-Feb-2018,948.90,967.90,942.90,955.60
26-Feb-2018,955.90,965.10,943.05,946.05
27-Feb-2018,953.00,958.60,944.00,949.90
28-Feb-2018,954.90,958.35,935.80,940.30
01-Mar-2018,943.80,952.45,938.00,942.80
05-Mar-2018,942.80,944.65,917.80,932.10
06-Mar-2018,938.00,953.00,926.50,932.80
07-Mar-2018,938.00,952.80,933.80,949.55
08-Mar-2018,953.00,964.00,945.55,950.65
09-Mar-2018,950.00,955.85,940.00,943.00
12-Mar-2018,950.00,976.00,949.00,967.65
13-Mar-2018,967.65,969.00,945.60,957.00
14-Mar-2018,962.00,968.15,960.00,965.05
15-Mar-2018,968.00,972.60,955.25,959.15
16-Mar-2018,960.00,979.55,947.05,967.60
19-Mar-2018,962.70,963.60,921.00,926.50
20-Mar-2018,925.00,947.75,915.60,937.20
21-Mar-2018,945.00,949.90,926.45,937.35
22-Mar-2018,941.00,948.90,925.00,930.55
23-Mar-2018,905.00,960.55,903.55,957.40
26-Mar-2018,957.20,971.00,945.00,967.05
27-Mar-2018,975.00,978.90,954.50,972.05
28-Mar-2018,961.55,981.60,955.05,968.60
02-Apr-2018,966.30,984.90,964.80,979.50
03-Apr-2018,972.50,989.00,963.05,969.25
04-Apr-2018,981.00,981.25,949.50,959.25
05-Apr-2018,970.00,984.20,956.55,962.05
06-Apr-2018,972.00,972.00,950.60,952.65
09-Apr-2018,954.30,962.65,948.00,953.25
10-Apr-2018,953.10,961.95,943.55,948.45
11-Apr-2018,955.00,977.70,951.35,967.30
12-Apr-2018,967.95,1013.00,967.30,1010.05
13-Apr-2018,1014.50,1020.00,988.25,991.25
16-Apr-2018,979.00,1006.75,976.10,999.90
