Date,Open,High,Low,Close
01-Jan-2018,1710.00,1711.05,1677.50,1683.75
02-Jan-2018,1690.00,1706.25,1685.40,1703.25
03-Jan-2018,1705.20,1711.80,1695.00,1700.80
04-Jan-2018,1708.95,1708.95,1691.05,1703.20
05-Jan-2018,1716.00,1731.00,1705.85,1725.20
08-Jan-2018,1729.25,1745.00,1729.00,1740.95
09-Jan-2018,1743.85,1748.35,1725.00,1735.05
10-Jan-2018,1730.00,1739.50,1721.20,1726.45
11-Jan-2018,1729.90,1745.00,1724.40,1741.35
12-Jan-2018,1744.00,1764.95,1740.60,1760.95
15-Jan-2018,1790.00,1886.80,1778.05,1871.20
16-Jan-2018,1870.00,1870.00,1835.75,1845.95
17-Jan-2018,1841.00,1869.00,1841.00,1858.35
18-Jan-2018,1875.45,1918.65,1865.60,1896.80
19-Jan-2018,1897.00,1912.80,1894.35,1901.25
22-Jan-2018,1901.00,1924.35,1863.95,1872.00
23-Jan-2018,1874.00,1896.90,1870.20,1884.65
24-Jan-2018,1886.60,1919.55,1880.00,1911.20
25-Jan-2018,1917.00,1922.50,1883.50,1908.30
29-Jan-2018,1915.00,1986.05,1909.90,1967.60
30-Jan-2018,1971.50,1971.50,1927.90,1937.50
31-Jan-2018,1932.25,1963.05,1918.00,1956.30
01-Feb-2018,1963.00,1975.30,1931.80,1967.55
02-Feb-2018,1946.00,1946.00,1895.00,1903.85
05-Feb-2018,1866.10,1886.00,1811.80,1823.35
06-Feb-2018,1769.00,1808.80,1757.05,1788.60
07-Feb-2018,1795.00,1806.65,1767.05,1785.35
08-Feb-2018,1788.00,1836.40,1787.50,1811.80
09-Feb-2018,1780.25,1783.45,1762.00,1773.05
12-Feb-2018,1777.10,1812.30,1760.70,1805.45
14-Feb-2018,1820.00,1833.00,1805.00,1814.00
15-Feb-2018,1828.90,1851.00,1819.15,1829.50
16-Feb-2018,1835.50,1836.95,1804.20,1815.50
19-Feb-2018,1827.75,1830.20,1801.00,1814.05
20-Feb-2018,1832.90,1840.00,1802.50,1811.75
21-Feb-2018,1825.00,1832.70,1816.00,1824.80
22-Feb-2018,1819.70,1825.00,1807.70,1819.25
23-Feb-2018,1826.85,1827.40,1815.50,1824.20
26-Feb-2018,1830.00,1852.75,1821.35,1843.25
27-Feb-2018,1850.00,1851.00,1819.05,1828.65
28-Feb-2018,1830.00,1832.00,1803.60,1808.70
01-Mar-2018,1811.00,1818.50,1801.00,1814.15
05-Mar-2018,1814.00,1814.00,1780.30,1789.60
06-Mar-2018,1803.90,1819.00,1758.10,1782.80
07-Mar-2018,1774.35,1782.20,1756.10,1761.75
08-Mar-2018,1772.90,1803.55,1771.70,1798.75
09-Mar-2018,1801.00,1834.30,1801.00,1818.60
12-Mar-2018,1831.60,1865.35,1827.05,1858.05
13-Mar-2018,1850.00,1881.50,1850.00,1868.50
14-Mar-2018,1857.25,1863.80,1836.05,1844.70
15-Mar-2018,1846.00,1847.70,1827.40,1830.00
16-Mar-2018,1830.00,1832.00,1784.65,1791.40
19-Mar-2018,1799.00,1806.85,1768.45,1774.50
20-Mar-2018,1771.00,1808.50,1771.00,1800.05
21-Mar-2018,1820.00,1830.40,1803.60,1817.85
22-Mar-2018,1820.00,1838.50,1801.75,1809.55
23-Mar-2018,1787.70,1799.55,1776.10,1789.60
26-Mar-2018,1781.00,1835.35,1778.25,1830.15
27-Mar-2018,1837.90,1838.00,1813.90,1823.15
28-Mar-2018,1821.00,1830.95,1812.75,1825.60
02-Apr-2018,1830.95,1854.15,1828.95,1838.05
03-Apr-2018,1836.00,1846.55,1815.60,1825.70
04-Apr-2018,1830.70,1831.80,1792.00,1803.30
05-Apr-2018,1821.00,1830.00,1812.20,1824.45
06-Apr-2018,1827.00,1837.80,1820.60,1829.00
09-Apr-2018,1834.85,1847.00,1825.00,1836.70
10-Apr-2018,1848.00,1851.65,1815.10,1817.50
11-Apr-2018,1823.50,1827.80,1802.60,1812.40
12-Apr-2018,1808.45,1830.55,1806.00,1829.05
13-Apr-2018,1834.00,1842.85,1822.60,1840.60
16-Apr-2018,1833.00,1873.00,1832.20,1870.45
