Date,Open,High,Low,Close
01-Jan-2018,3810.00,3810.00,3740.00,3749.10
02-Jan-2018,3781.00,3784.35,3719.25,3743.85
03-Jan-2018,3728.00,3764.40,3728.00,3755.20
04-Jan-2018,3755.00,3759.95,3721.55,3738.90
05-Jan-2018,3758.70,3758.70,3726.20,3744.65
08-Jan-2018,3773.00,3792.00,3745.30,3786.75
09-Jan-2018,3800.00,3804.80,3742.65,3749.45
10-Jan-2018,3740.00,3752.55,3725.00,3736.90
11-Jan-2018,3740.70,3743.20,3700.20,3705.65
12-Jan-2018,3726.90,3726.90,3650.60,3687.35
15-Jan-2018,3687.70,3700.00,3613.65,3628.80
16-Jan-2018,3637.70,3664.00,3578.15,3586.10
17-Jan-2018,3586.00,3590.15,3526.30,3566.85
18-Jan-2018,3586.00,3643.00,3576.05,3593.35
19-Jan-2018,3558.00,3620.00,3552.30,3589.75
22-Jan-2018,3592.75,3621.90,3589.10,3602.95
23-Jan-2018,3634.00,3635.00,3608.25,3630.00
24-Jan-2018,3629.70,3650.00,3600.00,3645.50
25-Jan-2018,3659.90,3659.90,3561.00,3571.20
29-Jan-2018,3584.70,3658.25,3574.55,3641.75
30-Jan-2018,3657.40,3696.00,3649.90,3687.85
31-Jan-2018,3703.00,3747.90,3682.00,3691.45
01-Feb-2018,3695.15,3744.00,3692.50,3732.95
02-Feb-2018,3729.70,3752.45,3612.70,3623.45
05-Feb-2018,3598.00,3662.60,3550.05,3636.40
06-Feb-2018,3527.30,3564.80,3450.00,3541.85
07-Feb-2018,3618.90,3620.00,3542.50,3566.40
08-Feb-2018,3570.00,3615.95,3555.00,3582.20
09-Feb-2018,3536.80,3576.35,3530.10,3546.10
12-Feb-2018,3566.00,3616.70,3545.50,3611.90
14-Feb-2018,3620.40,3624.00,3562.65,3596.05
15-Feb-2018,3565.00,3575.00,3520.00,3527.25
16-Feb-2018,3549.00,3549.80,3485.00,3494.20
19-Feb-2018,3502.00,3519.35,3442.00,3465.70
20-Feb-2018,3466.00,3518.00,3443.25,3477.45
21-Feb-2018,3517.80,3517.80,3460.00,3490.75
22-Feb-2018,3484.00,3499.30,3458.70,3481.20
23-Feb-2018,3483.40,3508.00,3455.00,3494.70
26-Feb-2018,3519.00,3549.95,3500.40,3537.85
27-Feb-2018,3573.10,3593.95,3545.00,3585.50
28-Feb-2018,3525.00,3613.00,3525.00,3596.70
01-Mar-2018,3575.00,3596.95,3565.15,3576.90
05-Mar-2018,3578.00,3581.90,3535.00,3556.45
06-Mar-2018,3571.10,3595.00,3544.70,3561.90
07-Mar-2018,3550.00,3560.00,3515.00,3554.40
08-Mar-2018,3561.00,3601.00,3545.65,3586.70
09-Mar-2018,3605.90,3661.45,3581.00,3586.35
12-Mar-2018,3600.40,3718.00,3599.85,3694.50
13-Mar-2018,3694.95,3729.75,3672.00,3701.20
14-Mar-2018,3680.00,3687.20,3622.00,3639.35
15-Mar-2018,3641.90,3690.00,3632.00,3640.80
16-Mar-2018,3665.00,3665.00,3530.65,3546.10
19-Mar-2018,3546.00,3549.00,3490.80,3515.30
20-Mar-2018,3498.10,3537.00,3498.10,3513.80
21-Mar-2018,3529.95,3529.95,3455.55,3463.60
22-Mar-2018,3473.20,3484.85,3440.00,3452.30
23-Mar-2018,3435.10,3435.10,3361.05,3413.75
26-Mar-2018,3414.00,3501.70,3365.50,3481.70
27-Mar-2018,3485.10,3488.00,3436.00,3464.70
28-Mar-2018,3455.00,3579.00,3428.05,3542.80
02-Apr-2018,3544.00,3654.65,3512.20,3646.00
03-Apr-2018,3644.95,3669.00,3621.00,3644.95
04-Apr-2018,3653.50,3695.00,3627.00,3667.15
05-Apr-2018,3700.00,3796.00,3699.95,3782.15
06-Apr-2018,3781.00,3787.95,3750.00,3779.45
09-Apr-2018,3784.00,3807.10,3775.20,3798.70
10-Apr-2018,3815.00,3815.00,3714.00,3718.30
11-Apr-2018,3732.00,3755.00,3681.00,3739.35
12-Apr-2018,3744.00,3786.50,3726.05,3749.45
13-Apr-2018,3759.80,3770.00,3698.00,3725.90
16-Apr-2018,3723.00,3810.00,3710.20,3803.15
