Date,Open,High,Low,Close
01-Jan-2018,1367.00,1367.00,1340.05,1344.50
02-Jan-2018,1345.00,1349.80,1328.55,1338.60
03-Jan-2018,1344.70,1356.80,1335.00,1350.35
04-Jan-2018,1350.10,1356.15,1341.45,1352.25
05-Jan-2018,1351.00,1362.95,1348.25,1356.55
08-Jan-2018,1348.60,1371.00,1348.60,1368.40
09-Jan-2018,1374.00,1375.90,1356.00,1361.30
10-Jan-2018,1361.35,1370.00,1355.00,1365.80
11-Jan-2018,1357.00,1382.90,1357.00,1378.65
12-Jan-2018,1380.80,1384.40,1357.00,1374.00
15-Jan-2018,1375.60,1375.60,1364.00,1367.20
16-Jan-2018,1369.30,1389.50,1363.75,1382.00
17-Jan-2018,1389.00,1391.00,1366.25,1371.20
18-Jan-2018,1400.00,1406.90,1350.60,1356.95
19-Jan-2018,1370.40,1372.85,1350.05,1362.45
22-Jan-2018,1363.00,1365.00,1346.45,1355.10
23-Jan-2018,1360.70,1372.35,1350.05,1368.35
24-Jan-2018,1368.00,1372.00,1335.05,1365.90
25-Jan-2018,1368.90,1378.00,1359.55,1372.75
29-Jan-2018,1370.00,1400.00,1367.20,1397.30
30-Jan-2018,1397.30,1410.00,1390.10,1400.25
31-Jan-2018,1400.00,1400.00,1362.60,1369.35
01-Feb-2018,1373.00,1384.80,1351.00,1371.25
02-Feb-2018,1352.00,1377.90,1352.00,1372.20
05-Feb-2018,1352.10,1361.45,1341.25,1355.75
06-Feb-2018,1300.00,1348.50,1299.00,1325.35
07-Feb-2018,1322.00,1330.00,1307.05,1312.65
08-Feb-2018,1325.70,1337.55,1305.25,1329.55
09-Feb-2018,1319.00,1340.00,1311.80,1333.05
12-Feb-2018,1340.00,1349.90,1333.15,1344.45
14-Feb-2018,1349.80,1353.20,1332.00,1349.40
15-Feb-2018,1353.00,1364.45,1338.75,1358.15
16-Feb-2018,1364.00,1364.00,1348.00,1352.10
19-Feb-2018,1359.00,1359.00,1328.80,1335.90
20-Feb-2018,1332.15,1343.35,1327.85,1331.80
21-Feb-2018,1339.00,1339.00,1323.00,1330.60
22-Feb-2018,1330.10,1333.80,1313.25,1326.45
23-Feb-2018,1326.50,1331.60,1320.20,1323.15
26-Feb-2018,1316.25,1338.40,1316.25,1333.30
27-Feb-2018,1340.00,1352.50,1334.10,1346.35
28-Feb-2018,1338.40,1338.50,1311.00,1317.75
01-Mar-2018,1320.00,1329.00,1314.25,1324.25
05-Mar-2018,1320.00,1320.95,1293.75,1299.75
06-Mar-2018,1300.00,1307.90,1289.20,1293.20
07-Mar-2018,1293.05,1307.60,1291.10,1293.85
08-Mar-2018,1300.00,1305.55,1284.20,1293.15
09-Mar-2018,1295.00,1303.00,1286.10,1300.75
12-Mar-2018,1305.00,1327.95,1294.05,1324.20
13-Mar-2018,1324.90,1331.45,1313.70,1320.55
14-Mar-2018,1317.40,1325.00,1311.15,1316.90
15-Mar-2018,1313.90,1320.00,1294.25,1299.95
16-Mar-2018,1303.00,1310.70,1281.10,1299.15
19-Mar-2018,1308.00,1318.20,1303.25,1309.40
20-Mar-2018,1306.00,1320.50,1306.00,1313.25
21-Mar-2018,1313.25,1323.10,1305.00,1315.60
22-Mar-2018,1312.50,1320.50,1309.05,1311.85
23-Mar-2018,1290.00,1314.00,1283.80,1301.65
26-Mar-2018,1303.00,1329.90,1298.00,1324.30
27-Mar-2018,1339.00,1340.00,1321.15,1332.80
28-Mar-2018,1326.05,1339.40,1322.20,1333.35
02-Apr-2018,1315.00,1360.55,1315.00,1351.30
03-Apr-2018,1347.10,1355.50,1338.65,1348.40
04-Apr-2018,1348.00,1360.00,1339.55,1357.45
05-Apr-2018,1380.00,1383.80,1362.70,1382.20
06-Apr-2018,1381.95,1381.95,1362.45,1374.80
09-Apr-2018,1367.95,1396.40,1367.50,1391.60
10-Apr-2018,1398.80,1402.80,1387.00,1391.50
11-Apr-2018,1393.00,1420.50,1385.55,1409.15
12-Apr-2018,1408.00,1416.00,1397.10,1412.75
13-Apr-2018,1412.00,1413.85,1399.20,1410.55
16-Apr-2018,1408.90,1423.20,1404.85,1419.50
