Date,Open,High,Low,Close
01-Jan-2018,21.00,22.20,20.80,21.50
02-Jan-2018,21.50,22.90,20.80,22.50
03-Jan-2018,22.60,23.95,22.60,23.55
04-Jan-2018,23.70,24.45,23.00,23.40
05-Jan-2018,23.05,23.75,22.40,22.55
08-Jan-2018,22.75,24.70,22.55,24.15
09-Jan-2018,24.30,24.40,22.85,23.00
10-Jan-2018,23.00,23.40,22.60,22.75
11-Jan-2018,22.80,23.40,22.40,22.55
12-Jan-2018,22.35,23.10,22.15,22.55
15-Jan-2018,22.70,23.00,22.55,22.60
16-Jan-2018,22.60,23.70,21.70,22.35
17-Jan-2018,22.10,22.50,21.65,22.30
18-Jan-2018,22.40,23.40,21.30,21.45
19-Jan-2018,21.30,22.10,21.15,21.55
22-Jan-2018,21.55,22.40,21.35,22.00
23-Jan-2018,22.20,22.85,21.80,22.25
24-Jan-2018,22.30,22.35,21.60,21.70
25-Jan-2018,21.85,23.45,21.80,23.20
29-Jan-2018,23.45,23.70,22.15,22.35
30-Jan-2018,22.20,22.60,22.00,22.25
31-Jan-2018,22.25,22.90,21.60,21.75
01-Feb-2018,21.90,22.15,21.10,21.35
02-Feb-2018,21.05,21.05,19.50,19.60
05-Feb-2018,18.30,20.65,18.30,20.40
06-Feb-2018,19.05,19.90,19.05,19.30
07-Feb-2018,19.55,20.50,19.55,19.80
08-Feb-2018,19.80,20.40,19.70,19.80
09-Feb-2018,19.55,23.75,19.40,23.75
12-Feb-2018,24.50,25.15,23.05,23.40
14-Feb-2018,23.55,23.75,22.60,22.70
15-Feb-2018,22.80,22.95,20.80,21.20
16-Feb-2018,21.30,21.65,20.55,20.75
19-Feb-2018,20.70,21.15,20.15,20.35
20-Feb-2018,20.25,20.75,20.05,20.10
21-Feb-2018,20.20,20.30,19.20,19.30
22-Feb-2018,19.35,20.00,19.20,19.30
23-Feb-2018,19.30,19.80,19.25,19.35
26-Feb-2018,19.65,19.65,19.10,19.20
27-Feb-2018,19.30,19.35,18.75,18.80
28-Feb-2018,18.85,19.15,18.45,18.85
01-Mar-2018,18.85,19.15,18.65,18.70
05-Mar-2018,18.80,19.15,18.50,18.55
06-Mar-2018,18.70,18.90,17.95,18.10
07-Mar-2018,18.10,18.15,17.30,17.45
08-Mar-2018,17.60,17.85,17.20,17.60
09-Mar-2018,17.75,18.20,17.40,17.50
12-Mar-2018,17.70,17.85,17.15,17.50
13-Mar-2018,17.55,18.15,17.50,18.05
14-Mar-2018,17.90,18.40,17.85,18.25
15-Mar-2018,18.20,19.45,18.10,18.70
16-Mar-2018,18.80,19.10,18.10,18.25
19-Mar-2018,18.25,18.40,17.55,17.65
20-Mar-2018,17.65,17.95,17.35,17.50
21-Mar-2018,17.70,17.95,17.40,17.45
22-Mar-2018,17.50,17.65,16.90,17.20
23-Mar-2018,17.05,17.70,16.90,17.45
26-Mar-2018,17.45,17.65,17.20,17.25
27-Mar-2018,17.35,17.80,17.35,17.55
28-Mar-2018,17.40,17.50,17.05,17.10
02-Apr-2018,17.25,17.75,17.25,17.70
03-Apr-2018,17.70,18.25,17.55,18.10
04-Apr-2018,18.30,18.60,17.75,17.90
05-Apr-2018,18.05,18.40,17.95,18.05
06-Apr-2018,18.15,18.75,18.05,18.55
09-Apr-2018,18.60,18.95,18.10,18.50
10-Apr-2018,18.75,19.70,18.20,19.05
11-Apr-2018,19.15,19.15,18.55,18.80
12-Apr-2018,18.80,19.10,18.65,18.70
13-Apr-2018,18.70,19.65,18.55,19.25
16-Apr-2018,19.25,19.60,19.00,19.35
