Date,Open,High,Low,Close
01-Jan-2018,22.90,25.75,22.40,25.20
02-Jan-2018,25.50,26.30,24.40,24.90
03-Jan-2018,25.00,25.50,24.80,25.15
04-Jan-2018,25.65,26.50,25.30,25.95
05-Jan-2018,26.40,26.70,25.15,26.35
08-Jan-2018,27.00,30.40,27.00,29.20
09-Jan-2018,29.30,29.60,27.25,27.60
10-Jan-2018,27.50,29.70,27.00,29.30
11-Jan-2018,29.95,31.40,29.55,30.60
12-Jan-2018,31.05,31.25,28.60,29.15
15-Jan-2018,29.65,30.70,29.35,29.45
16-Jan-2018,29.45,29.85,27.70,27.90
17-Jan-2018,28.40,28.75,27.10,28.05
18-Jan-2018,28.40,30.80,26.85,27.75
19-Jan-2018,27.65,30.60,26.90,29.40
22-Jan-2018,30.00,30.65,29.05,29.75
23-Jan-2018,29.55,34.15,29.55,33.55
24-Jan-2018,34.95,37.20,32.20,34.30
25-Jan-2018,34.50,38.50,33.25,35.95
29-Jan-2018,37.80,37.90,34.30,34.75
30-Jan-2018,34.20,34.20,31.60,32.00
31-Jan-2018,32.75,32.75,30.30,30.70
01-Feb-2018,31.15,32.25,29.80,30.10
02-Feb-2018,29.00,29.85,26.50,27.05
05-Feb-2018,26.00,27.05,24.15,26.25
06-Feb-2018,23.10,26.00,23.10,25.55
