Date,Open,High,Low,Close
01-Jan-2018,145.00,156.50,143.05,146.90
02-Jan-2018,149.90,151.25,141.35,143.00
03-Jan-2018,144.10,148.80,142.35,143.95
04-Jan-2018,144.90,145.75,142.15,142.55
05-Jan-2018,143.75,144.80,142.25,142.80
08-Jan-2018,143.65,146.40,142.50,143.20
09-Jan-2018,143.50,149.70,142.80,145.15
10-Jan-2018,145.80,145.95,143.50,144.80
11-Jan-2018,144.80,146.00,142.95,143.50
12-Jan-2018,143.40,144.60,140.55,141.35
15-Jan-2018,141.85,143.90,139.75,141.10
16-Jan-2018,141.95,148.00,140.85,144.15
17-Jan-2018,145.55,146.65,142.60,144.95
18-Jan-2018,145.90,146.15,141.90,142.60
19-Jan-2018,142.60,144.75,141.55,143.75
22-Jan-2018,144.00,149.55,142.45,147.15
23-Jan-2018,147.15,150.90,146.35,147.85
24-Jan-2018,146.40,156.45,145.00,154.30
25-Jan-2018,155.65,163.40,155.15,158.20
29-Jan-2018,158.15,162.35,156.40,157.85
30-Jan-2018,155.35,159.15,154.30,157.35
31-Jan-2018,155.10,158.50,153.20,156.20
01-Feb-2018,155.50,161.70,153.00,159.20
02-Feb-2018,157.00,158.60,151.50,152.55
05-Feb-2018,149.80,158.90,149.80,155.65
06-Feb-2018,150.50,155.65,149.25,151.55
07-Feb-2018,153.50,155.25,151.20,153.85
08-Feb-2018,154.80,158.75,154.00,156.05
09-Feb-2018,153.00,158.40,152.70,157.30
12-Feb-2018,158.80,161.50,156.50,158.25
14-Feb-2018,158.25,160.75,157.15,158.30
15-Feb-2018,161.00,167.85,160.00,161.60
16-Feb-2018,162.90,163.70,159.05,160.40
19-Feb-2018,161.65,162.00,158.50,160.35
20-Feb-2018,161.00,161.75,158.75,159.30
21-Feb-2018,159.30,160.80,158.60,159.35
22-Feb-2018,159.00,160.90,156.60,157.30
23-Feb-2018,157.80,161.85,157.25,160.65
26-Feb-2018,161.75,162.10,160.15,161.30
27-Feb-2018,161.30,162.30,155.10,156.00
28-Feb-2018,156.05,160.00,156.00,158.40
01-Mar-2018,158.40,159.20,157.00,157.55
05-Mar-2018,158.00,158.35,154.75,155.35
06-Mar-2018,156.50,156.85,153.75,154.45
07-Mar-2018,154.40,155.20,150.75,152.85
08-Mar-2018,153.30,154.20,150.50,152.60
09-Mar-2018,152.95,153.85,152.00,152.70
12-Mar-2018,153.00,153.90,151.00,152.95
13-Mar-2018,152.95,153.55,151.20,152.15
14-Mar-2018,152.00,152.55,150.75,151.55
15-Mar-2018,152.05,152.85,151.55,151.70
16-Mar-2018,152.00,152.55,149.00,150.10
19-Mar-2018,149.90,152.80,148.25,149.10
20-Mar-2018,150.00,151.15,148.00,149.65
21-Mar-2018,150.40,151.20,149.75,150.25
22-Mar-2018,150.05,150.80,149.25,150.25
23-Mar-2018,149.90,150.05,148.00,149.55
26-Mar-2018,149.95,153.00,148.85,149.30
27-Mar-2018,149.85,154.80,149.00,152.20
28-Mar-2018,151.05,151.30,145.15,148.50
02-Apr-2018,149.25,154.45,149.00,152.05
03-Apr-2018,153.60,161.90,151.45,158.45
04-Apr-2018,161.95,164.00,156.00,158.70
05-Apr-2018,161.00,164.70,160.05,163.40
06-Apr-2018,164.25,168.50,161.40,166.95
09-Apr-2018,166.95,169.00,165.25,166.75
10-Apr-2018,167.30,170.70,165.25,167.65
11-Apr-2018,168.25,172.40,166.10,171.25
12-Apr-2018,170.60,173.60,169.25,170.60
13-Apr-2018,171.50,173.00,169.55,172.30
16-Apr-2018,170.25,171.85,168.25,170.75
