Date,Open,High,Low,Close
01-Jan-2018,1037.70,1044.50,1030.00,1033.55
02-Jan-2018,1037.25,1042.00,1023.00,1029.70
03-Jan-2018,1028.50,1031.60,1018.60,1021.30
04-Jan-2018,1021.00,1021.00,1009.60,1015.40
05-Jan-2018,1015.30,1026.40,1006.00,1012.00
08-Jan-2018,1024.90,1039.00,1020.05,1036.05
09-Jan-2018,1040.00,1044.90,1028.90,1041.35
10-Jan-2018,1046.80,1056.00,1033.05,1052.25
11-Jan-2018,1055.25,1083.40,1055.25,1075.80
12-Jan-2018,1085.80,1085.90,1070.55,1078.45
15-Jan-2018,1080.00,1092.95,1065.10,1081.15
16-Jan-2018,1081.25,1134.80,1081.25,1122.85
17-Jan-2018,1124.85,1161.80,1123.00,1152.10
18-Jan-2018,1145.00,1164.90,1132.10,1152.70
19-Jan-2018,1145.00,1147.90,1136.00,1143.45
22-Jan-2018,1132.15,1156.95,1132.00,1150.00
23-Jan-2018,1155.00,1188.00,1155.00,1177.10
24-Jan-2018,1174.80,1221.05,1167.50,1185.80
25-Jan-2018,1182.00,1183.40,1162.25,1175.40
29-Jan-2018,1166.55,1196.25,1165.20,1182.90
30-Jan-2018,1178.90,1183.10,1162.70,1170.65
31-Jan-2018,1159.15,1166.60,1142.15,1150.25
01-Feb-2018,1142.20,1157.90,1118.55,1144.60
02-Feb-2018,1135.25,1162.90,1130.10,1143.25
05-Feb-2018,1140.00,1154.85,1135.85,1138.20
06-Feb-2018,1099.95,1128.35,1095.15,1107.75
07-Feb-2018,1116.00,1124.80,1103.55,1109.05
08-Feb-2018,1122.80,1146.40,1116.55,1134.25
09-Feb-2018,1118.00,1120.30,1106.00,1109.15
12-Feb-2018,1114.80,1120.60,1097.80,1102.80
14-Feb-2018,1106.00,1117.30,1090.20,1097.75
15-Feb-2018,1103.00,1129.70,1103.00,1114.45
16-Feb-2018,1125.00,1141.65,1118.10,1128.05
19-Feb-2018,1128.40,1136.00,1120.30,1131.75
20-Feb-2018,1103.75,1149.50,1103.75,1136.95
21-Feb-2018,1147.50,1151.90,1140.00,1147.40
22-Feb-2018,1145.55,1164.00,1140.45,1160.75
23-Feb-2018,1163.50,1166.00,1146.75,1155.65
26-Feb-2018,1151.00,1155.05,1134.35,1138.60
27-Feb-2018,1144.95,1153.65,1125.65,1150.20
28-Feb-2018,1147.60,1189.50,1142.55,1172.60
01-Mar-2018,1169.60,1169.60,1156.05,1160.75
05-Mar-2018,1160.75,1170.80,1143.25,1155.90
06-Mar-2018,1162.55,1165.40,1143.60,1151.35
07-Mar-2018,1155.00,1160.00,1138.05,1144.10
08-Mar-2018,1149.00,1165.80,1149.00,1156.65
09-Mar-2018,1162.35,1166.00,1155.55,1163.40
12-Mar-2018,1176.00,1191.85,1171.75,1185.75
13-Mar-2018,1180.20,1197.00,1175.15,1183.80
14-Mar-2018,1180.00,1190.60,1169.10,1180.80
15-Mar-2018,1180.00,1188.40,1172.00,1182.50
16-Mar-2018,1182.00,1182.40,1169.25,1171.90
19-Mar-2018,1164.00,1180.50,1142.65,1146.75
20-Mar-2018,1148.60,1170.00,1148.60,1164.55
21-Mar-2018,1170.00,1175.50,1162.20,1167.50
22-Mar-2018,1164.50,1177.45,1155.30,1161.30
23-Mar-2018,1147.00,1173.80,1142.35,1167.60
26-Mar-2018,1166.90,1166.90,1144.00,1155.25
27-Mar-2018,1160.00,1161.30,1150.10,1154.00
28-Mar-2018,1150.75,1150.75,1126.25,1131.80
02-Apr-2018,1141.00,1149.55,1121.30,1137.15
03-Apr-2018,1134.70,1143.55,1128.10,1140.45
04-Apr-2018,1144.00,1144.55,1120.00,1124.20
05-Apr-2018,1139.55,1151.30,1129.10,1147.55
06-Apr-2018,1143.00,1146.00,1122.10,1127.00
09-Apr-2018,1125.00,1125.80,1106.55,1111.25
10-Apr-2018,1112.00,1124.50,1105.40,1113.40
11-Apr-2018,1118.00,1131.50,1116.50,1124.25
12-Apr-2018,1129.45,1172.75,1125.00,1162.60
13-Apr-2018,1174.00,1185.90,1150.25,1171.45
16-Apr-2018,1102.00,1140.00,1102.00,1133.20
