Date,Open,High,Low,Close
01-Jan-2018,92.60,94.20,90.25,91.05
02-Jan-2018,91.35,92.00,88.60,89.85
03-Jan-2018,90.20,91.60,89.85,90.30
04-Jan-2018,90.50,91.90,89.40,91.05
05-Jan-2018,91.70,92.60,91.10,91.60
08-Jan-2018,91.95,93.00,91.10,91.45
09-Jan-2018,91.95,91.95,88.30,89.40
10-Jan-2018,89.40,92.80,87.95,91.70
11-Jan-2018,93.20,96.40,92.95,95.30
12-Jan-2018,96.40,97.50,94.00,94.85
15-Jan-2018,95.00,96.60,93.80,95.60
16-Jan-2018,95.35,95.35,91.00,92.00
17-Jan-2018,91.00,95.20,89.45,94.60
18-Jan-2018,95.00,95.30,89.00,89.30
19-Jan-2018,89.50,92.70,89.30,91.70
22-Jan-2018,91.70,92.05,88.25,88.70
23-Jan-2018,88.70,91.80,88.40,90.60
24-Jan-2018,90.80,91.70,89.15,89.55
25-Jan-2018,89.70,92.10,86.25,87.20
29-Jan-2018,87.85,87.95,85.20,86.10
30-Jan-2018,85.35,87.70,84.35,87.30
31-Jan-2018,86.50,88.75,86.40,87.60
01-Feb-2018,87.45,89.60,83.30,87.35
02-Feb-2018,85.40,88.25,79.55,84.05
05-Feb-2018,82.10,85.45,81.00,85.15
06-Feb-2018,80.00,84.45,78.55,82.75
07-Feb-2018,84.30,84.90,80.90,81.90
08-Feb-2018,81.55,85.50,81.40,82.60
09-Feb-2018,81.00,83.20,80.10,82.50
12-Feb-2018,82.90,84.40,82.20,82.55
14-Feb-2018,83.05,83.45,81.50,82.05
15-Feb-2018,82.75,83.00,80.00,80.45
16-Feb-2018,80.90,81.30,78.70,80.10
19-Feb-2018,80.80,81.20,78.50,79.00
20-Feb-2018,80.55,81.00,79.35,79.90
21-Feb-2018,80.80,80.95,79.00,79.30
22-Feb-2018,78.70,79.45,78.65,79.10
23-Feb-2018,79.15,82.45,78.90,82.00
26-Feb-2018,82.00,82.55,80.90,81.95
27-Feb-2018,81.95,82.70,80.45,81.35
28-Feb-2018,81.00,81.45,80.00,80.70
01-Mar-2018,80.55,81.60,80.15,80.65
05-Mar-2018,80.20,80.95,78.75,79.55
06-Mar-2018,81.40,81.85,78.70,79.10
07-Mar-2018,78.80,79.50,77.40,77.80
08-Mar-2018,78.60,79.75,76.40,79.50
09-Mar-2018,80.10,80.50,78.65,78.80
12-Mar-2018,79.40,79.75,77.15,77.50
13-Mar-2018,76.50,80.50,76.40,79.85
14-Mar-2018,79.70,80.00,76.75,78.85
15-Mar-2018,78.50,79.90,78.10,78.95
16-Mar-2018,79.00,81.65,77.40,77.90
19-Mar-2018,78.25,78.30,72.40,73.55
20-Mar-2018,72.75,75.95,72.65,75.35
21-Mar-2018,75.35,76.30,74.25,75.75
22-Mar-2018,75.75,75.95,73.35,73.90
23-Mar-2018,72.00,73.40,71.15,72.05
26-Mar-2018,71.45,74.00,69.65,73.20
27-Mar-2018,73.70,74.90,73.40,74.20
28-Mar-2018,73.20,74.00,72.30,72.80
02-Apr-2018,73.50,76.00,73.30,75.45
03-Apr-2018,74.50,79.75,74.35,79.15
04-Apr-2018,80.10,82.20,79.60,80.95
05-Apr-2018,82.15,83.40,81.55,83.00
06-Apr-2018,82.75,82.75,81.55,81.75
09-Apr-2018,81.65,82.50,80.20,80.65
10-Apr-2018,80.60,82.40,80.30,80.95
11-Apr-2018,81.35,81.60,80.40,80.90
12-Apr-2018,81.00,81.25,79.10,79.30
13-Apr-2018,79.30,81.50,79.25,80.30
16-Apr-2018,79.30,80.90,78.60,80.60
