Date,Open,High,Low,Close
01-Jan-2018,149.90,151.00,148.45,149.45
02-Jan-2018,149.45,150.50,147.70,149.85
03-Jan-2018,150.00,150.00,148.00,148.55
04-Jan-2018,151.40,151.50,147.40,148.20
05-Jan-2018,148.50,149.50,147.40,148.60
08-Jan-2018,149.70,149.70,146.90,147.60
09-Jan-2018,148.00,148.00,144.60,145.30
10-Jan-2018,145.30,146.70,142.70,143.40
11-Jan-2018,143.90,144.50,142.00,143.35
12-Jan-2018,143.40,144.20,141.80,142.60
15-Jan-2018,143.45,143.85,140.15,141.55
16-Jan-2018,141.00,142.05,136.50,137.15
17-Jan-2018,137.20,142.50,137.20,141.60
18-Jan-2018,146.00,147.00,138.60,141.05
19-Jan-2018,141.65,143.35,138.50,141.65
22-Jan-2018,140.95,141.85,139.15,140.30
23-Jan-2018,140.30,140.30,136.45,137.40
24-Jan-2018,137.50,138.35,134.65,135.50
25-Jan-2018,135.50,137.30,134.50,136.05
29-Jan-2018,136.10,137.15,131.00,132.00
30-Jan-2018,131.90,134.35,128.50,131.75
31-Jan-2018,129.00,131.50,126.70,127.90
01-Feb-2018,128.55,133.90,127.00,131.15
02-Feb-2018,130.00,130.30,128.00,128.40
05-Feb-2018,125.65,131.25,125.30,129.50
06-Feb-2018,126.95,128.80,125.80,126.30
07-Feb-2018,130.50,130.50,126.00,126.25
08-Feb-2018,126.25,128.25,125.00,126.40
09-Feb-2018,125.00,126.30,124.00,124.50
12-Feb-2018,124.75,126.90,124.55,125.60
14-Feb-2018,126.40,126.55,124.50,124.65
15-Feb-2018,124.65,125.75,121.60,122.60
16-Feb-2018,122.65,123.55,120.90,121.60
19-Feb-2018,122.00,122.15,117.75,119.00
20-Feb-2018,119.00,119.00,117.85,118.40
21-Feb-2018,118.65,119.30,114.05,114.65
22-Feb-2018,114.65,115.45,113.90,114.90
23-Feb-2018,114.90,116.70,114.05,115.00
26-Feb-2018,115.05,115.95,114.05,114.75
27-Feb-2018,114.35,114.80,110.10,112.20
28-Feb-2018,110.00,112.00,103.60,104.40
01-Mar-2018,104.40,106.00,104.00,104.55
05-Mar-2018,104.55,105.20,100.10,100.25
06-Mar-2018,101.50,101.50,99.35,99.80
07-Mar-2018,99.70,99.70,95.10,96.75
08-Mar-2018,96.75,102.50,94.05,101.10
09-Mar-2018,101.10,101.25,97.45,99.50
12-Mar-2018,100.50,102.25,98.80,101.00
13-Mar-2018,101.60,107.05,100.25,102.60
14-Mar-2018,101.35,104.25,99.60,103.65
15-Mar-2018,103.80,105.50,103.10,104.45
16-Mar-2018,104.00,104.40,100.75,101.35
19-Mar-2018,100.25,100.95,96.65,98.00
20-Mar-2018,96.25,100.60,95.65,99.85
21-Mar-2018,100.90,104.45,100.65,101.50
22-Mar-2018,101.85,102.40,97.00,97.55
23-Mar-2018,96.90,97.00,94.60,95.80
26-Mar-2018,95.80,96.75,95.10,95.40
27-Mar-2018,95.90,98.00,94.70,95.00
28-Mar-2018,95.00,99.30,93.50,98.50
02-Apr-2018,99.80,99.80,95.30,95.85
03-Apr-2018,96.60,97.50,95.25,96.45
04-Apr-2018,97.75,97.75,94.50,94.75
05-Apr-2018,97.85,97.85,93.70,94.95
06-Apr-2018,95.10,95.80,93.75,95.10
09-Apr-2018,95.20,96.40,91.15,92.80
10-Apr-2018,93.40,93.75,92.30,92.70
11-Apr-2018,93.30,93.70,91.10,91.75
12-Apr-2018,91.75,92.70,91.50,92.00
13-Apr-2018,92.70,93.45,91.50,91.75
16-Apr-2018,91.50,92.50,91.00,91.95
