Date,Open,High,Low,Close
01-Jan-2018,2774.20,2795.00,2752.55,2781.10
02-Jan-2018,2769.90,2785.00,2745.00,2750.85
03-Jan-2018,2764.70,2764.70,2702.00,2740.05
04-Jan-2018,2750.05,2760.00,2717.95,2739.70
05-Jan-2018,2765.35,2897.00,2750.05,2853.95
08-Jan-2018,2899.00,2920.00,2850.00,2883.15
09-Jan-2018,2850.05,2930.05,2824.95,2862.75
10-Jan-2018,2875.05,2878.10,2825.00,2843.15
11-Jan-2018,2883.95,2883.95,2772.05,2791.35
12-Jan-2018,2795.20,2820.00,2750.00,2758.05
15-Jan-2018,2799.00,2900.00,2759.10,2845.65
16-Jan-2018,2850.30,2850.30,2760.00,2766.35
17-Jan-2018,2751.15,2809.00,2741.05,2775.30
18-Jan-2018,2785.85,2829.75,2751.00,2756.65
19-Jan-2018,2727.50,2779.00,2711.25,2761.25
22-Jan-2018,2734.00,2798.00,2734.00,2794.80
23-Jan-2018,2836.95,2836.95,2749.00,2757.35
24-Jan-2018,2766.45,2775.00,2700.00,2720.25
25-Jan-2018,2712.40,2806.00,2712.40,2800.00
29-Jan-2018,2825.00,2847.95,2720.00,2729.40
30-Jan-2018,2714.15,2715.55,2675.00,2683.00
31-Jan-2018,2685.05,2700.05,2650.05,2665.30
01-Feb-2018,2650.10,2750.00,2455.00,2719.40
02-Feb-2018,2700.05,2700.05,2580.00,2602.00
05-Feb-2018,2505.80,2570.00,2505.80,2548.15
06-Feb-2018,2461.25,2517.00,2440.00,2498.70
07-Feb-2018,2548.65,2580.00,2423.00,2559.20
08-Feb-2018,2559.95,2614.00,2520.00,2570.10
09-Feb-2018,2450.00,2510.15,2450.00,2456.65
12-Feb-2018,2471.00,2471.05,2440.00,2445.35
14-Feb-2018,2479.00,2488.35,2436.00,2446.35
15-Feb-2018,2447.35,2457.70,2420.10,2430.75
16-Feb-2018,2439.90,2459.95,2420.05,2446.20
19-Feb-2018,2453.00,2453.00,2410.05,2422.85
20-Feb-2018,2410.30,2424.00,2380.05,2393.90
21-Feb-2018,2411.90,2415.00,2365.65,2384.70
22-Feb-2018,2345.05,2399.00,2345.05,2375.80
23-Feb-2018,2386.15,2400.00,2359.95,2387.55
26-Feb-2018,2371.60,2400.00,2371.15,2389.50
27-Feb-2018,2419.95,2431.00,2380.05,2408.30
28-Feb-2018,2390.10,2460.05,2388.05,2425.90
01-Mar-2018,2458.00,2458.00,2390.00,2412.85
05-Mar-2018,2420.05,2438.95,2350.00,2353.10
06-Mar-2018,2351.10,2423.65,2350.00,2363.00
07-Mar-2018,2325.05,2400.00,2300.00,2312.15
08-Mar-2018,2314.65,2325.90,2270.00,2283.95
09-Mar-2018,2290.20,2305.05,2238.35,2250.05
12-Mar-2018,2288.90,2424.60,2263.00,2279.00
13-Mar-2018,2298.00,2305.00,2272.75,2293.90
14-Mar-2018,2262.65,2320.00,2222.00,2288.50
15-Mar-2018,2266.00,2293.40,2250.00,2259.45
16-Mar-2018,2263.95,2294.95,2245.00,2252.15
19-Mar-2018,2225.55,2233.95,2191.85,2200.40
20-Mar-2018,2220.00,2239.90,2199.95,2202.95
21-Mar-2018,2226.90,2243.95,2210.15,2222.75
22-Mar-2018,2230.00,2261.85,2201.00,2228.75
23-Mar-2018,2224.90,2224.90,2110.00,2129.30
26-Mar-2018,2109.95,2159.90,2103.55,2148.45
27-Mar-2018,2189.00,2311.95,2162.20,2299.05
28-Mar-2018,2255.35,2348.50,2245.00,2288.70
02-Apr-2018,2300.00,2343.05,2290.05,2299.95
03-Apr-2018,2301.90,2325.00,2266.25,2284.45
04-Apr-2018,2296.25,2320.00,2251.00,2312.45
05-Apr-2018,2272.05,2375.05,2272.00,2362.65
06-Apr-2018,2382.35,2525.00,2376.10,2496.80
09-Apr-2018,2500.00,2549.95,2500.00,2511.70
10-Apr-2018,2514.55,2518.50,2482.15,2500.25
11-Apr-2018,2475.00,2518.75,2474.90,2479.80
12-Apr-2018,2459.35,2469.55,2424.70,2431.35
13-Apr-2018,2431.30,2441.75,2390.05,2399.95
16-Apr-2018,2419.10,2449.75,2379.80,2421.05
