Date,Open,High,Low,Close
01-Jan-2018,9749.00,9789.00,9629.80,9651.90
02-Jan-2018,9699.00,9718.60,9525.00,9554.05
03-Jan-2018,9597.00,9598.00,9402.00,9416.60
04-Jan-2018,9450.00,9488.00,9367.20,9386.25
05-Jan-2018,9458.00,9532.00,9412.55,9433.85
08-Jan-2018,9488.00,9495.00,9425.00,9448.95
09-Jan-2018,9464.80,9491.45,9361.00,9383.55
10-Jan-2018,9387.80,9454.85,9315.90,9375.85
11-Jan-2018,9410.00,9430.00,9326.00,9339.80
12-Jan-2018,9387.00,9494.75,9355.10,9459.15
15-Jan-2018,9499.95,9508.55,9340.00,9358.45
16-Jan-2018,9371.00,9408.65,9300.00,9322.05
17-Jan-2018,9316.00,9368.80,9256.00,9313.90
18-Jan-2018,9350.00,9518.90,9332.00,9368.70
19-Jan-2018,9325.00,9396.00,9282.00,9323.95
22-Jan-2018,9349.00,9356.75,9271.60,9310.10
23-Jan-2018,9347.00,9429.30,9290.00,9393.40
24-Jan-2018,9419.00,9519.95,9340.45,9434.95
25-Jan-2018,9485.00,9485.00,9250.00,9278.20
29-Jan-2018,9481.00,9714.00,9461.00,9630.70
30-Jan-2018,9620.00,9675.50,9550.00,9571.55
31-Jan-2018,9558.05,9585.00,9458.90,9509.70
01-Feb-2018,9545.00,9563.70,9312.00,9401.85
02-Feb-2018,9359.00,9359.00,8940.00,8990.60
05-Feb-2018,8850.15,9120.00,8688.00,9080.60
06-Feb-2018,8700.00,9113.50,8661.60,8984.60
07-Feb-2018,9170.00,9170.00,8873.00,8921.80
08-Feb-2018,8988.90,9060.00,8915.00,9030.70
09-Feb-2018,8906.00,8986.55,8870.00,8936.10
12-Feb-2018,8960.00,9150.00,8960.00,9117.85
14-Feb-2018,9149.90,9157.50,8986.00,9001.60
15-Feb-2018,9049.00,9090.00,9001.00,9020.25
16-Feb-2018,9039.90,9070.00,8806.85,8836.95
19-Feb-2018,8856.00,8865.85,8691.65,8724.85
20-Feb-2018,8745.00,8768.95,8650.00,8722.65
21-Feb-2018,8771.00,8795.00,8708.20,8782.75
22-Feb-2018,8769.00,8769.00,8601.50,8634.05
23-Feb-2018,8665.00,8738.95,8655.05,8698.80
26-Feb-2018,8758.00,9055.00,8750.05,9005.35
27-Feb-2018,9093.00,9114.95,8872.60,8891.20
28-Feb-2018,8870.00,8934.00,8772.00,8850.95
01-Mar-2018,8874.00,8936.05,8811.35,8873.45
05-Mar-2018,8867.00,8867.00,8775.00,8795.10
06-Mar-2018,8855.55,8885.00,8600.00,8616.50
07-Mar-2018,8621.80,8713.85,8552.00,8679.10
08-Mar-2018,8700.20,8775.00,8651.00,8729.35
09-Mar-2018,8760.00,8774.00,8650.00,8660.60
12-Mar-2018,8719.00,8826.80,8681.10,8810.30
13-Mar-2018,8810.00,8848.00,8691.00,8756.05
14-Mar-2018,8735.00,8874.00,8725.05,8846.30
15-Mar-2018,8839.90,8875.00,8800.95,8837.55
16-Mar-2018,8869.00,8869.00,8649.40,8676.55
19-Mar-2018,8711.50,8800.00,8703.55,8773.50
20-Mar-2018,8764.45,8845.50,8735.00,8802.40
21-Mar-2018,8839.90,8945.00,8825.05,8874.65
22-Mar-2018,8870.00,8910.50,8684.40,8696.55
23-Mar-2018,8612.55,8640.50,8542.10,8607.25
26-Mar-2018,8607.00,8798.00,8605.00,8765.30
27-Mar-2018,8815.00,8887.00,8767.15,8852.30
28-Mar-2018,8812.00,9084.00,8801.00,8861.10
02-Apr-2018,8990.00,9088.00,8953.25,9008.20
03-Apr-2018,9008.95,9060.00,8955.00,9026.45
04-Apr-2018,9078.00,9149.40,8980.60,9013.50
05-Apr-2018,9050.00,9157.65,9050.00,9132.60
06-Apr-2018,9165.00,9230.00,9042.55,9206.20
09-Apr-2018,9220.00,9308.15,9184.70,9292.65
10-Apr-2018,9290.00,9315.45,9239.00,9273.45
11-Apr-2018,9290.00,9350.00,9208.55,9302.50
12-Apr-2018,9290.00,9290.00,9181.10,9204.45
13-Apr-2018,9267.00,9267.00,9106.25,9123.95
16-Apr-2018,9100.00,9245.00,9065.00,9232.00
