Date,Open,High,Low,Close
01-Jan-2018,93.80,95.45,92.90,93.35
02-Jan-2018,93.10,94.00,90.80,92.55
03-Jan-2018,93.25,105.50,92.00,100.05
04-Jan-2018,100.90,102.00,98.10,99.50
05-Jan-2018,98.90,99.70,97.10,97.65
08-Jan-2018,98.00,102.95,98.00,99.95
09-Jan-2018,99.05,99.70,97.00,98.05
10-Jan-2018,98.00,98.95,96.15,97.05
11-Jan-2018,97.85,100.60,96.25,98.95
12-Jan-2018,101.20,101.75,96.40,97.35
15-Jan-2018,98.00,100.50,97.95,99.35
16-Jan-2018,100.45,100.45,96.00,96.20
17-Jan-2018,96.10,97.20,92.70,95.50
18-Jan-2018,96.50,97.30,91.75,92.55
19-Jan-2018,92.95,94.35,91.55,93.05
22-Jan-2018,92.90,97.60,92.50,94.95
23-Jan-2018,95.50,96.65,93.15,93.90
24-Jan-2018,94.00,94.10,91.30,91.80
25-Jan-2018,92.20,94.80,90.15,93.10
29-Jan-2018,94.50,95.40,91.20,91.85
30-Jan-2018,91.80,91.80,88.10,88.50
31-Jan-2018,89.00,91.95,87.25,88.60
01-Feb-2018,89.40,93.80,84.80,86.10
02-Feb-2018,83.70,86.80,81.40,83.40
05-Feb-2018,82.00,85.15,75.25,83.55
06-Feb-2018,78.90,80.45,74.05,78.30
07-Feb-2018,80.00,81.65,78.30,80.10
08-Feb-2018,80.15,93.20,80.15,90.05
09-Feb-2018,85.10,92.35,85.00,91.50
12-Feb-2018,92.45,98.65,92.45,94.55
14-Feb-2018,96.00,100.90,89.75,91.75
15-Feb-2018,91.00,93.20,90.15,92.35
16-Feb-2018,92.90,93.25,90.40,91.00
19-Feb-2018,91.40,92.60,89.50,90.70
20-Feb-2018,91.50,96.40,87.50,91.70
21-Feb-2018,92.85,94.25,89.80,92.00
22-Feb-2018,90.50,91.50,89.80,90.30
23-Feb-2018,91.15,91.35,90.05,90.35
26-Feb-2018,90.60,91.40,90.00,90.30
27-Feb-2018,90.80,90.80,87.20,87.80
28-Feb-2018,86.35,87.55,85.95,86.50
01-Mar-2018,86.75,87.30,85.00,85.30
05-Mar-2018,85.00,86.10,81.70,83.55
06-Mar-2018,84.50,86.00,82.50,83.10
07-Mar-2018,82.60,84.20,79.00,83.15
08-Mar-2018,83.60,83.95,80.20,82.50
09-Mar-2018,82.50,82.60,80.05,80.80
12-Mar-2018,81.10,82.50,80.05,81.90
13-Mar-2018,82.00,84.75,81.00,83.95
14-Mar-2018,83.00,84.90,82.15,83.10
15-Mar-2018,83.10,85.75,81.60,82.15
16-Mar-2018,82.35,84.30,79.70,82.30
19-Mar-2018,81.70,82.50,78.90,79.55
20-Mar-2018,79.20,80.80,78.05,78.90
21-Mar-2018,79.60,80.80,78.20,79.05
22-Mar-2018,79.40,80.15,76.25,77.75
23-Mar-2018,75.00,77.75,74.15,76.10
26-Mar-2018,76.20,78.90,71.50,76.75
27-Mar-2018,78.50,79.45,76.80,78.15
28-Mar-2018,77.70,78.75,75.25,76.50
02-Apr-2018,77.50,77.85,76.10,77.10
03-Apr-2018,75.90,77.90,75.75,76.95
04-Apr-2018,77.65,79.50,76.10,76.80
05-Apr-2018,78.25,79.00,77.70,78.45
06-Apr-2018,78.60,79.75,78.15,78.65
09-Apr-2018,78.80,79.30,77.40,77.65
10-Apr-2018,78.35,79.50,77.55,77.95
11-Apr-2018,78.50,82.20,77.30,80.70
12-Apr-2018,80.70,81.65,79.10,80.10
13-Apr-2018,80.00,80.70,78.85,79.40
16-Apr-2018,78.40,79.30,77.45,78.65
