Date,Open,High,Low,Close
01-Jan-2018,339.35,342.50,335.00,338.10
02-Jan-2018,337.00,340.00,333.00,333.90
03-Jan-2018,337.00,337.00,334.05,334.70
04-Jan-2018,334.65,342.10,334.60,341.15
05-Jan-2018,343.00,367.80,341.55,359.05
08-Jan-2018,362.65,376.80,362.65,372.60
09-Jan-2018,376.25,376.25,355.35,371.00
10-Jan-2018,373.00,382.75,365.60,380.20
11-Jan-2018,382.80,383.00,368.15,379.10
12-Jan-2018,380.00,383.60,375.90,380.20
15-Jan-2018,383.00,385.40,379.10,381.95
16-Jan-2018,384.50,384.50,374.15,377.50
17-Jan-2018,377.00,377.00,362.60,374.55
18-Jan-2018,374.55,376.85,361.00,364.10
19-Jan-2018,366.30,373.50,361.55,368.50
22-Jan-2018,369.90,369.90,360.00,362.65
23-Jan-2018,364.95,378.00,361.00,372.90
24-Jan-2018,375.00,375.25,363.00,370.60
25-Jan-2018,372.00,372.00,363.00,365.85
29-Jan-2018,366.00,368.95,355.05,357.65
30-Jan-2018,360.95,361.00,343.60,346.60
31-Jan-2018,349.00,354.00,325.80,330.60
01-Feb-2018,327.60,347.70,326.00,336.95
02-Feb-2018,330.00,336.95,321.00,323.05
05-Feb-2018,321.00,326.35,315.00,316.80
06-Feb-2018,308.25,321.55,294.20,298.05
07-Feb-2018,303.80,309.00,300.00,301.15
08-Feb-2018,303.35,308.90,303.35,304.95
09-Feb-2018,303.00,311.00,298.95,305.30
12-Feb-2018,315.00,324.90,313.00,319.25
14-Feb-2018,322.90,328.00,312.00,313.95
15-Feb-2018,317.25,319.00,304.00,306.00
16-Feb-2018,308.00,313.70,303.05,308.25
19-Feb-2018,312.90,312.90,302.50,304.85
20-Feb-2018,306.00,308.80,301.00,302.40
21-Feb-2018,306.00,306.85,300.25,301.50
22-Feb-2018,303.85,303.85,300.05,300.70
23-Feb-2018,304.00,305.15,300.00,300.60
26-Feb-2018,302.95,303.10,294.35,294.95
27-Feb-2018,298.75,298.75,290.95,294.65
28-Feb-2018,294.65,295.65,288.25,290.55
01-Mar-2018,293.00,293.90,287.50,290.25
05-Mar-2018,293.25,297.90,291.00,293.90
06-Mar-2018,295.00,297.90,290.50,291.20
07-Mar-2018,289.15,293.00,289.00,290.80
08-Mar-2018,295.00,299.90,290.95,294.15
09-Mar-2018,295.00,299.50,292.60,296.30
12-Mar-2018,299.90,299.90,294.70,295.80
13-Mar-2018,299.00,299.50,296.00,296.85
14-Mar-2018,297.50,298.85,292.00,293.00
15-Mar-2018,296.80,297.55,289.00,290.10
16-Mar-2018,292.30,292.30,287.00,287.85
19-Mar-2018,292.00,292.00,281.25,281.95
20-Mar-2018,281.95,284.00,279.05,279.70
21-Mar-2018,280.00,286.00,279.50,280.05
22-Mar-2018,283.00,285.00,273.50,274.25
23-Mar-2018,273.95,277.00,272.05,274.95
26-Mar-2018,278.00,287.40,272.50,275.20
27-Mar-2018,277.00,280.05,272.05,273.50
28-Mar-2018,274.95,298.00,274.95,293.25
02-Apr-2018,294.00,304.40,292.95,300.45
03-Apr-2018,299.90,309.00,293.25,304.15
04-Apr-2018,303.30,308.10,297.25,298.65
05-Apr-2018,301.50,304.80,298.00,299.30
06-Apr-2018,301.90,309.45,297.05,307.00
09-Apr-2018,309.70,311.50,301.25,303.60
10-Apr-2018,307.45,309.70,302.00,303.65
11-Apr-2018,305.00,305.45,297.50,298.15
12-Apr-2018,300.25,304.55,298.25,301.65
13-Apr-2018,304.60,304.60,300.80,302.05
16-Apr-2018,301.00,309.00,300.85,304.60
