Date,Open,High,Low,Close
01-Jan-2018,610.80,618.35,605.30,606.90
02-Jan-2018,603.05,611.35,598.00,605.05
03-Jan-2018,606.00,613.80,595.70,599.30
04-Jan-2018,601.00,605.75,593.05,599.90
05-Jan-2018,600.50,605.00,597.00,602.30
08-Jan-2018,602.50,643.20,602.50,632.65
09-Jan-2018,632.50,632.50,615.35,626.05
10-Jan-2018,625.95,633.00,620.55,623.85
11-Jan-2018,627.00,638.00,617.60,621.20
12-Jan-2018,625.00,637.00,623.05,633.75
15-Jan-2018,635.00,640.85,622.65,627.50
16-Jan-2018,631.95,635.45,616.60,619.75
17-Jan-2018,621.00,629.80,615.00,624.85
18-Jan-2018,665.20,693.60,663.20,684.15
19-Jan-2018,685.00,706.00,671.20,702.40
22-Jan-2018,700.00,764.30,693.45,757.35
23-Jan-2018,750.00,775.00,742.90,762.55
24-Jan-2018,758.00,784.00,748.80,753.45
25-Jan-2018,762.80,770.25,747.00,749.55
29-Jan-2018,750.00,770.80,749.00,761.95
30-Jan-2018,758.00,772.70,756.00,764.45
31-Jan-2018,774.00,779.15,762.55,770.00
01-Feb-2018,765.55,769.00,745.05,753.60
02-Feb-2018,750.00,758.00,730.20,735.15
05-Feb-2018,720.05,727.95,683.40,705.00
06-Feb-2018,662.00,723.50,662.00,720.70
07-Feb-2018,728.40,728.45,714.70,717.45
08-Feb-2018,721.00,750.00,717.40,733.30
09-Feb-2018,725.00,732.65,713.70,717.20
12-Feb-2018,721.70,727.60,716.20,722.40
14-Feb-2018,724.90,738.75,719.75,723.60
15-Feb-2018,732.50,732.50,694.40,701.60
16-Feb-2018,705.40,720.00,705.05,713.20
19-Feb-2018,708.00,713.95,680.55,691.55
20-Feb-2018,696.75,704.95,687.40,697.80
21-Feb-2018,696.00,728.30,696.00,726.15
22-Feb-2018,730.00,743.90,729.75,740.70
23-Feb-2018,745.95,836.15,744.00,811.90
26-Feb-2018,821.40,825.80,774.15,801.85
27-Feb-2018,804.00,812.00,794.75,802.70
28-Feb-2018,800.15,820.00,793.15,815.10
01-Mar-2018,820.00,824.35,810.05,814.05
05-Mar-2018,808.25,871.20,808.10,859.55
06-Mar-2018,870.00,870.60,820.05,826.10
07-Mar-2018,822.00,849.40,817.00,831.30
08-Mar-2018,836.00,843.40,814.35,817.20
09-Mar-2018,823.00,829.00,809.00,813.85
12-Mar-2018,819.00,828.00,810.60,815.15
13-Mar-2018,816.25,825.00,795.20,800.85
14-Mar-2018,800.00,815.00,791.75,799.55
15-Mar-2018,801.55,849.90,801.55,843.65
16-Mar-2018,839.00,842.95,809.10,812.35
19-Mar-2018,819.50,819.50,772.40,779.40
20-Mar-2018,772.00,782.90,751.20,772.95
21-Mar-2018,780.00,807.00,779.25,790.90
22-Mar-2018,793.00,795.00,767.55,772.65
23-Mar-2018,760.00,787.00,744.65,782.75
26-Mar-2018,779.95,786.00,767.00,771.90
27-Mar-2018,776.70,781.95,770.10,772.80
28-Mar-2018,775.25,780.00,767.20,771.95
02-Apr-2018,782.00,812.80,772.50,810.20
03-Apr-2018,801.00,809.40,792.40,800.65
04-Apr-2018,807.90,808.45,776.75,779.55
05-Apr-2018,790.90,807.70,790.00,805.95
06-Apr-2018,806.95,840.55,805.60,831.70
09-Apr-2018,840.00,848.50,808.30,822.25
10-Apr-2018,824.45,845.85,823.00,827.75
11-Apr-2018,830.00,842.20,825.00,829.95
12-Apr-2018,835.00,847.00,833.10,836.40
13-Apr-2018,840.60,859.00,830.10,852.15
16-Apr-2018,843.50,872.00,840.60,868.85
