Date,Open,High,Low,Close
01-Jan-2018,965.00,990.00,962.00,986.30
02-Jan-2018,989.95,992.90,962.00,966.95
03-Jan-2018,971.90,985.95,966.05,974.15
04-Jan-2018,980.00,985.00,970.00,975.70
05-Jan-2018,983.00,1000.00,976.15,998.80
08-Jan-2018,998.80,1025.00,998.00,1005.00
09-Jan-2018,1011.95,1014.75,977.70,984.85
10-Jan-2018,984.00,1015.60,983.95,991.45
11-Jan-2018,992.90,1025.00,992.00,1021.95
12-Jan-2018,1025.00,1046.95,1025.00,1034.30
15-Jan-2018,1042.05,1045.00,1028.00,1035.70
16-Jan-2018,1042.70,1042.70,1009.00,1024.60
17-Jan-2018,1031.90,1031.90,1001.05,1023.05
18-Jan-2018,1016.05,1029.00,1000.00,1010.25
19-Jan-2018,1004.00,1030.00,1004.00,1022.40
22-Jan-2018,1031.00,1040.50,995.30,1013.45
23-Jan-2018,1014.00,1033.80,1013.45,1019.50
24-Jan-2018,1016.10,1019.00,982.60,997.00
25-Jan-2018,993.00,999.75,989.00,998.50
29-Jan-2018,999.00,1018.00,978.00,984.30
30-Jan-2018,987.95,989.70,960.10,965.65
31-Jan-2018,954.90,956.35,928.00,946.90
01-Feb-2018,948.00,974.00,935.00,944.15
02-Feb-2018,940.00,964.75,917.35,922.20
05-Feb-2018,919.95,934.50,895.35,909.20
06-Feb-2018,876.00,930.00,862.40,901.25
07-Feb-2018,917.85,917.85,815.00,828.60
08-Feb-2018,840.00,846.00,824.00,829.60
09-Feb-2018,810.00,818.90,801.80,813.50
12-Feb-2018,821.00,837.25,817.00,819.65
14-Feb-2018,824.00,824.00,774.15,783.85
15-Feb-2018,796.00,800.00,783.00,788.15
16-Feb-2018,794.00,799.45,770.00,796.10
19-Feb-2018,838.00,845.00,800.05,803.90
20-Feb-2018,805.00,811.95,777.65,783.60
21-Feb-2018,790.00,790.00,774.20,780.10
22-Feb-2018,777.90,780.90,765.00,766.60
23-Feb-2018,772.50,783.50,770.00,778.15
26-Feb-2018,783.95,786.00,768.00,772.85
27-Feb-2018,779.75,781.85,768.30,770.05
28-Feb-2018,769.95,812.40,756.45,798.70
01-Mar-2018,792.00,794.50,778.15,780.40
05-Mar-2018,781.00,782.90,753.00,756.30
06-Mar-2018,762.90,767.50,722.00,729.35
07-Mar-2018,731.50,731.50,697.60,722.55
08-Mar-2018,722.60,726.55,703.00,715.55
09-Mar-2018,719.00,730.20,712.10,719.40
12-Mar-2018,723.95,734.40,718.50,730.05
13-Mar-2018,728.95,746.00,725.50,744.70
14-Mar-2018,741.95,775.00,740.00,774.35
15-Mar-2018,775.00,793.90,769.00,789.15
16-Mar-2018,789.15,798.80,770.15,794.30
19-Mar-2018,783.00,788.80,760.00,763.15
20-Mar-2018,755.00,784.00,740.00,780.35
21-Mar-2018,781.65,792.00,776.25,782.05
22-Mar-2018,784.00,790.00,777.00,785.60
23-Mar-2018,763.00,790.00,750.10,783.75
26-Mar-2018,783.30,793.00,763.15,790.00
27-Mar-2018,797.75,797.75,750.65,763.15
28-Mar-2018,765.00,773.80,748.00,753.65
02-Apr-2018,760.00,779.00,750.00,771.40
03-Apr-2018,766.60,777.00,764.10,774.75
04-Apr-2018,771.15,785.00,755.45,763.90
05-Apr-2018,779.00,790.00,767.10,770.80
06-Apr-2018,772.00,784.00,770.00,780.55
09-Apr-2018,781.35,785.90,773.05,779.50
10-Apr-2018,779.50,785.75,777.10,781.85
11-Apr-2018,788.00,788.00,771.55,773.60
12-Apr-2018,772.00,783.40,771.10,776.40
13-Apr-2018,782.00,784.90,774.80,779.20
16-Apr-2018,777.95,803.00,775.15,787.05
