Date,Open,High,Low,Close
01-Jan-2018,646.00,663.00,638.20,653.80
02-Jan-2018,662.70,662.70,637.80,642.55
03-Jan-2018,642.00,658.35,641.15,645.95
04-Jan-2018,649.70,655.75,642.55,653.15
05-Jan-2018,655.00,672.00,651.85,669.50
08-Jan-2018,674.00,705.90,672.05,704.05
09-Jan-2018,710.00,710.15,687.00,689.90
10-Jan-2018,690.90,723.50,679.05,719.15
11-Jan-2018,724.95,735.00,714.40,717.65
12-Jan-2018,714.00,719.75,696.75,701.30
15-Jan-2018,704.00,711.55,697.65,700.85
16-Jan-2018,707.00,731.95,694.85,708.85
17-Jan-2018,704.70,715.70,700.10,706.05
18-Jan-2018,706.85,719.95,685.65,693.20
19-Jan-2018,694.90,734.25,682.85,728.05
22-Jan-2018,730.00,770.30,723.40,765.75
23-Jan-2018,765.70,791.75,747.10,783.75
24-Jan-2018,770.00,871.20,770.00,861.90
25-Jan-2018,850.55,928.75,842.00,914.10
29-Jan-2018,905.30,912.50,859.10,866.35
30-Jan-2018,859.00,882.00,852.60,858.75
31-Jan-2018,848.10,868.00,846.75,856.15
01-Feb-2018,846.20,862.70,831.65,835.10
02-Feb-2018,835.00,853.80,751.60,790.00
05-Feb-2018,788.00,833.05,764.35,826.75
06-Feb-2018,787.00,834.75,775.00,830.70
07-Feb-2018,821.00,852.20,821.00,838.05
08-Feb-2018,837.00,854.80,821.85,827.85
09-Feb-2018,803.00,835.95,803.00,829.95
12-Feb-2018,840.95,845.00,826.55,829.05
14-Feb-2018,829.05,852.70,823.45,830.45
15-Feb-2018,831.00,847.00,812.50,825.60
16-Feb-2018,834.00,844.20,815.25,820.30
19-Feb-2018,826.00,826.45,748.85,761.30
20-Feb-2018,761.00,772.45,735.10,758.20
21-Feb-2018,768.00,800.00,760.00,795.35
22-Feb-2018,802.00,827.35,798.00,822.55
23-Feb-2018,832.80,836.20,813.10,831.25
26-Feb-2018,835.35,848.65,821.00,830.30
27-Feb-2018,830.90,846.40,825.00,832.80
28-Feb-2018,830.05,846.70,823.00,834.50
01-Mar-2018,835.90,874.90,833.80,871.40
05-Mar-2018,871.80,884.80,862.30,879.95
06-Mar-2018,880.00,886.00,856.00,859.35
07-Mar-2018,858.00,888.50,853.90,878.70
08-Mar-2018,889.20,889.20,868.10,879.05
09-Mar-2018,878.00,887.00,872.00,879.25
12-Mar-2018,887.00,915.00,881.00,910.60
13-Mar-2018,916.10,926.90,900.00,903.55
14-Mar-2018,898.40,945.00,895.00,932.45
15-Mar-2018,943.00,1012.45,930.55,988.80
16-Mar-2018,970.00,973.85,923.25,927.15
19-Mar-2018,932.00,934.10,875.75,881.80
20-Mar-2018,869.65,924.00,860.50,918.05
21-Mar-2018,923.95,961.15,922.65,949.65
22-Mar-2018,945.50,953.35,925.35,932.60
23-Mar-2018,904.00,923.50,885.50,893.80
26-Mar-2018,889.95,910.50,862.20,901.50
27-Mar-2018,908.90,918.90,880.45,887.90
28-Mar-2018,888.00,891.95,862.20,865.00
02-Apr-2018,820.00,892.50,820.00,881.40
03-Apr-2018,880.85,892.35,872.00,883.25
04-Apr-2018,890.00,895.70,862.00,866.30
05-Apr-2018,883.00,887.45,870.15,879.85
06-Apr-2018,881.90,912.00,871.55,903.50
09-Apr-2018,908.00,908.00,881.10,883.45
10-Apr-2018,883.95,896.40,875.50,885.85
11-Apr-2018,888.10,903.90,882.30,891.00
12-Apr-2018,896.00,926.50,893.60,916.25
13-Apr-2018,925.00,927.00,904.00,915.20
16-Apr-2018,902.10,921.70,898.25,910.65
