Date,Open,High,Low,Close
01-Jan-2018,182.85,183.55,181.25,182.20
02-Jan-2018,182.90,183.90,179.30,181.70
03-Jan-2018,184.90,195.60,183.50,193.65
04-Jan-2018,196.70,226.30,196.60,219.10
05-Jan-2018,217.50,236.40,213.05,228.95
08-Jan-2018,227.50,230.75,218.50,219.55
09-Jan-2018,219.80,221.40,208.20,212.30
10-Jan-2018,212.50,218.40,212.45,215.75
11-Jan-2018,215.55,215.75,210.20,211.45
12-Jan-2018,213.50,224.90,211.00,219.90
15-Jan-2018,221.00,226.00,215.30,217.15
16-Jan-2018,218.90,218.95,206.20,207.85
17-Jan-2018,208.25,214.80,198.85,213.10
18-Jan-2018,215.15,215.40,200.10,202.00
19-Jan-2018,203.00,207.70,197.50,202.45
22-Jan-2018,203.50,213.15,198.50,212.50
23-Jan-2018,213.00,213.50,205.00,205.80
24-Jan-2018,206.85,210.95,203.10,206.20
25-Jan-2018,206.20,209.20,200.65,201.80
29-Jan-2018,203.40,204.45,196.25,197.95
30-Jan-2018,197.00,202.90,190.60,199.65
31-Jan-2018,200.00,212.00,195.00,209.60
01-Feb-2018,206.00,210.80,196.30,201.85
02-Feb-2018,196.50,199.70,182.70,185.85
05-Feb-2018,180.15,195.00,176.15,192.50
06-Feb-2018,180.00,192.85,177.00,191.00
07-Feb-2018,195.00,202.00,192.00,194.30
08-Feb-2018,195.85,201.35,195.15,196.00
09-Feb-2018,191.95,197.70,185.00,195.00
12-Feb-2018,197.70,202.70,196.15,197.80
14-Feb-2018,199.40,204.25,197.25,198.45
15-Feb-2018,199.00,202.30,186.00,187.85
16-Feb-2018,190.00,192.50,184.50,186.85
19-Feb-2018,187.00,187.00,179.10,184.55
20-Feb-2018,185.35,188.00,183.25,184.10
21-Feb-2018,185.60,187.00,182.60,183.85
22-Feb-2018,183.00,184.20,181.05,181.60
23-Feb-2018,183.35,185.70,181.50,184.25
26-Feb-2018,187.00,188.90,185.10,186.95
27-Feb-2018,188.00,189.90,185.20,186.00
28-Feb-2018,184.90,197.00,183.00,194.35
01-Mar-2018,195.65,208.00,195.10,206.50
05-Mar-2018,206.00,211.00,201.50,205.80
06-Mar-2018,207.55,210.40,202.95,204.20
07-Mar-2018,202.50,205.00,194.15,196.40
08-Mar-2018,198.50,199.30,191.00,196.75
09-Mar-2018,197.90,200.00,192.95,194.35
12-Mar-2018,196.05,198.00,189.10,192.90
13-Mar-2018,193.70,198.50,191.05,195.20
14-Mar-2018,194.30,196.50,193.20,195.40
15-Mar-2018,196.60,204.00,195.00,202.30
16-Mar-2018,204.90,208.30,201.30,203.25
19-Mar-2018,199.70,202.35,193.65,194.95
20-Mar-2018,194.10,197.35,191.30,194.40
21-Mar-2018,195.30,199.10,195.30,196.85
22-Mar-2018,195.50,198.40,194.50,196.25
23-Mar-2018,191.95,192.95,186.50,188.35
26-Mar-2018,187.90,194.70,186.00,193.00
27-Mar-2018,195.00,196.55,192.10,193.80
28-Mar-2018,192.50,196.95,190.45,191.85
02-Apr-2018,194.10,198.70,194.10,196.90
03-Apr-2018,196.80,210.80,196.00,205.80
04-Apr-2018,209.70,213.95,201.00,203.15
05-Apr-2018,206.75,216.90,206.75,211.80
06-Apr-2018,211.70,214.10,209.20,212.80
09-Apr-2018,214.80,214.80,209.65,211.15
10-Apr-2018,212.00,215.70,210.05,213.30
11-Apr-2018,213.00,213.50,210.50,211.05
12-Apr-2018,211.05,214.20,210.00,211.80
13-Apr-2018,211.50,215.50,211.00,211.90
16-Apr-2018,210.00,225.85,209.55,223.95
