Date,Open,High,Low,Close
01-Jan-2018,254.00,259.35,252.00,255.90
02-Jan-2018,255.00,256.65,249.15,252.75
03-Jan-2018,252.75,256.20,251.50,253.60
04-Jan-2018,254.65,254.65,251.30,252.70
05-Jan-2018,253.70,254.10,251.80,252.15
08-Jan-2018,253.00,256.95,252.50,254.70
09-Jan-2018,255.00,255.90,252.70,253.20
10-Jan-2018,253.00,255.60,249.20,251.00
11-Jan-2018,251.05,251.90,248.75,249.45
12-Jan-2018,250.50,254.35,249.55,252.50
15-Jan-2018,253.10,255.50,248.40,248.75
16-Jan-2018,250.00,250.30,236.50,238.65
17-Jan-2018,239.45,242.60,233.95,234.60
18-Jan-2018,236.00,240.60,233.60,235.85
19-Jan-2018,233.55,238.20,231.75,237.05
22-Jan-2018,237.50,238.55,233.30,237.80
23-Jan-2018,238.25,246.75,238.25,245.85
24-Jan-2018,247.95,252.20,245.75,247.25
25-Jan-2018,249.00,249.00,241.00,244.00
29-Jan-2018,246.55,251.45,246.10,250.50
30-Jan-2018,248.15,259.00,248.10,257.90
31-Jan-2018,258.15,259.45,250.15,254.75
01-Feb-2018,252.50,255.45,248.00,252.10
02-Feb-2018,249.50,255.45,242.25,243.30
05-Feb-2018,240.00,250.80,237.60,247.65
06-Feb-2018,235.65,245.60,234.00,244.30
07-Feb-2018,246.00,251.45,242.40,246.15
08-Feb-2018,247.00,251.00,246.20,248.90
09-Feb-2018,245.00,252.05,242.10,246.80
12-Feb-2018,249.40,250.35,246.30,248.70
14-Feb-2018,250.00,253.60,248.75,252.05
15-Feb-2018,254.85,254.85,248.15,249.65
16-Feb-2018,250.00,251.20,246.75,248.20
19-Feb-2018,246.55,247.15,236.10,239.15
20-Feb-2018,239.65,245.00,238.00,244.10
21-Feb-2018,247.00,247.85,241.80,245.10
22-Feb-2018,243.00,244.65,239.40,240.70
23-Feb-2018,240.70,244.85,240.20,243.55
26-Feb-2018,243.60,245.20,241.50,243.20
27-Feb-2018,244.40,250.50,243.00,249.65
28-Feb-2018,248.20,252.20,244.95,247.30
01-Mar-2018,245.50,246.75,240.00,240.80
05-Mar-2018,240.40,241.50,233.80,235.50
06-Mar-2018,238.00,239.90,232.75,233.95
07-Mar-2018,236.00,238.25,233.85,235.40
08-Mar-2018,236.40,238.40,231.80,235.40
09-Mar-2018,235.55,235.55,228.45,230.70
12-Mar-2018,232.05,232.95,228.00,231.00
13-Mar-2018,228.25,240.00,228.25,239.35
14-Mar-2018,237.50,239.90,235.75,238.10
15-Mar-2018,238.50,239.85,236.10,237.40
16-Mar-2018,237.30,240.25,233.20,235.00
19-Mar-2018,234.75,236.10,230.85,233.65
20-Mar-2018,233.10,238.85,231.95,235.65
21-Mar-2018,237.00,237.65,233.10,235.50
22-Mar-2018,236.00,236.00,232.50,234.15
23-Mar-2018,231.90,233.65,224.70,232.00
26-Mar-2018,230.70,233.30,223.60,225.90
27-Mar-2018,226.15,231.75,224.70,226.75
28-Mar-2018,226.15,232.85,224.60,230.95
02-Apr-2018,231.55,234.35,230.25,230.85
03-Apr-2018,230.05,233.35,228.40,232.00
04-Apr-2018,232.80,233.25,229.45,230.85
05-Apr-2018,231.85,232.95,230.65,232.45
06-Apr-2018,233.00,238.00,231.50,236.90
09-Apr-2018,237.70,242.00,236.00,239.25
10-Apr-2018,240.00,240.50,234.30,235.90
11-Apr-2018,238.30,241.90,234.60,235.70
12-Apr-2018,237.00,238.50,234.10,238.10
13-Apr-2018,237.15,240.35,235.00,236.00
16-Apr-2018,235.00,239.15,233.60,238.60
