Date,Open,High,Low,Close
01-Jan-2018,199.05,201.75,199.05,200.20
02-Jan-2018,201.25,201.80,199.30,200.75
03-Jan-2018,201.50,202.45,200.60,201.65
04-Jan-2018,202.00,202.85,200.00,200.35
05-Jan-2018,201.30,202.05,200.60,201.25
08-Jan-2018,202.00,203.25,200.05,200.55
09-Jan-2018,201.10,201.40,200.30,201.00
10-Jan-2018,201.90,201.90,198.50,199.85
11-Jan-2018,199.10,200.30,197.30,197.85
12-Jan-2018,198.10,198.30,195.70,196.35
15-Jan-2018,197.80,200.25,195.15,199.30
16-Jan-2018,199.10,199.30,194.35,196.20
17-Jan-2018,196.00,198.70,194.00,197.40
18-Jan-2018,198.60,199.80,195.75,197.00
19-Jan-2018,197.00,198.00,194.30,196.10
22-Jan-2018,196.15,196.95,195.00,195.30
23-Jan-2018,195.30,196.35,194.05,195.85
24-Jan-2018,195.30,196.95,195.15,195.95
25-Jan-2018,196.70,196.85,193.15,194.30
29-Jan-2018,194.50,196.00,194.00,194.15
30-Jan-2018,193.80,196.15,190.70,194.95
31-Jan-2018,194.95,195.30,192.00,193.80
01-Feb-2018,194.50,195.15,189.00,194.85
02-Feb-2018,194.50,194.50,191.00,192.90
05-Feb-2018,190.00,196.95,190.00,196.50
06-Feb-2018,190.00,195.60,190.00,194.95
07-Feb-2018,195.80,196.85,193.40,195.50
08-Feb-2018,194.00,194.65,192.35,193.20
09-Feb-2018,192.00,194.30,191.00,193.20
12-Feb-2018,194.20,199.05,193.30,198.50
14-Feb-2018,198.45,198.45,193.70,195.45
15-Feb-2018,196.00,198.30,194.70,197.90
16-Feb-2018,198.10,198.25,194.75,195.55
19-Feb-2018,195.60,196.95,193.60,194.15
20-Feb-2018,194.90,196.35,193.75,195.00
21-Feb-2018,195.60,195.90,193.30,193.95
22-Feb-2018,193.30,194.50,189.25,190.25
23-Feb-2018,190.60,193.85,190.35,193.25
26-Feb-2018,195.00,197.20,193.00,196.15
27-Feb-2018,197.25,198.25,195.55,197.75
28-Feb-2018,196.80,198.20,195.40,197.70
01-Mar-2018,197.10,198.50,195.55,197.40
05-Mar-2018,196.80,197.05,194.25,196.95
06-Mar-2018,197.10,197.50,192.10,193.15
07-Mar-2018,192.75,194.00,191.25,193.35
08-Mar-2018,193.85,195.90,192.40,195.40
09-Mar-2018,195.50,195.65,191.80,192.90
12-Mar-2018,193.50,195.65,193.00,195.00
13-Mar-2018,194.90,197.00,193.25,195.05
14-Mar-2018,194.65,196.20,193.50,194.35
15-Mar-2018,193.95,195.75,193.80,194.80
16-Mar-2018,194.40,197.15,191.35,192.25
19-Mar-2018,193.40,195.10,192.50,194.20
20-Mar-2018,194.10,196.10,192.80,194.90
21-Mar-2018,195.50,195.50,193.60,194.20
22-Mar-2018,194.20,194.70,192.25,192.70
23-Mar-2018,191.00,195.25,191.00,194.25
26-Mar-2018,194.40,195.50,194.25,194.90
27-Mar-2018,195.10,196.35,195.10,195.95
28-Mar-2018,195.50,195.80,192.30,193.25
02-Apr-2018,192.90,195.20,192.90,194.90
03-Apr-2018,194.80,199.50,194.55,198.55
04-Apr-2018,198.95,199.90,194.65,196.05
05-Apr-2018,197.90,198.45,196.00,196.25
06-Apr-2018,197.50,197.90,195.75,195.95
09-Apr-2018,196.00,196.50,195.20,195.85
10-Apr-2018,196.85,198.65,196.30,196.95
11-Apr-2018,198.00,198.20,195.80,197.00
12-Apr-2018,197.20,197.90,196.10,196.35
13-Apr-2018,196.50,198.00,196.40,197.50
16-Apr-2018,197.25,200.90,196.80,199.20
