Date,Open,High,Low,Close
01-Jan-2018,1235.10,1253.10,1232.50,1238.20
02-Jan-2018,1241.80,1268.00,1227.30,1258.90
03-Jan-2018,1259.05,1272.70,1247.65,1258.15
04-Jan-2018,1260.10,1281.40,1260.10,1277.05
05-Jan-2018,1278.00,1289.70,1270.00,1286.70
08-Jan-2018,1287.10,1306.35,1287.10,1293.45
09-Jan-2018,1315.00,1315.00,1291.20,1301.70
10-Jan-2018,1301.70,1305.15,1286.25,1299.75
11-Jan-2018,1294.00,1299.80,1279.50,1294.60
12-Jan-2018,1300.00,1329.00,1286.25,1321.50
15-Jan-2018,1325.00,1329.00,1300.00,1305.15
16-Jan-2018,1301.15,1308.25,1274.45,1291.55
17-Jan-2018,1291.50,1327.00,1265.10,1315.05
18-Jan-2018,1314.00,1317.50,1281.70,1297.40
19-Jan-2018,1297.40,1311.05,1258.50,1299.35
22-Jan-2018,1290.00,1322.00,1288.55,1319.20
23-Jan-2018,1326.00,1332.00,1312.00,1319.80
24-Jan-2018,1314.00,1329.80,1301.75,1304.05
25-Jan-2018,1303.00,1322.00,1291.45,1296.10
29-Jan-2018,1296.10,1309.20,1278.00,1288.05
30-Jan-2018,1287.00,1299.95,1263.30,1289.25
31-Jan-2018,1289.80,1331.30,1278.05,1301.85
01-Feb-2018,1303.00,1336.00,1265.30,1323.75
02-Feb-2018,1320.05,1323.35,1280.00,1292.85
05-Feb-2018,1273.00,1286.00,1257.95,1269.00
06-Feb-2018,1230.00,1269.00,1204.00,1256.00
07-Feb-2018,1260.00,1278.75,1210.00,1217.30
08-Feb-2018,1219.00,1248.65,1215.00,1226.00
09-Feb-2018,1210.00,1239.80,1209.95,1229.40
12-Feb-2018,1237.95,1260.40,1234.30,1255.50
14-Feb-2018,1257.10,1282.20,1257.10,1275.50
15-Feb-2018,1279.95,1295.00,1252.50,1259.00
16-Feb-2018,1261.00,1279.85,1236.10,1267.60
19-Feb-2018,1265.10,1275.40,1237.60,1243.55
20-Feb-2018,1240.00,1260.80,1237.25,1242.25
21-Feb-2018,1252.45,1257.50,1230.10,1244.20
22-Feb-2018,1242.00,1259.75,1187.55,1193.20
23-Feb-2018,1173.20,1189.50,1158.15,1172.10
26-Feb-2018,1175.00,1180.90,1168.05,1171.65
27-Feb-2018,1174.95,1181.55,1151.65,1164.05
28-Feb-2018,1151.50,1175.00,1144.80,1167.90
01-Mar-2018,1175.65,1178.00,1150.00,1153.15
05-Mar-2018,1153.00,1159.00,1136.00,1142.25
06-Mar-2018,1156.50,1156.85,1121.00,1128.75
07-Mar-2018,1126.00,1129.00,1087.75,1092.55
08-Mar-2018,1095.10,1108.50,1080.00,1102.10
09-Mar-2018,1104.00,1136.80,1083.70,1085.80
12-Mar-2018,1091.15,1110.00,1087.30,1106.85
13-Mar-2018,1123.00,1126.05,1091.50,1118.95
14-Mar-2018,1110.80,1134.30,1110.05,1129.20
15-Mar-2018,1129.00,1139.45,1118.25,1132.60
16-Mar-2018,1123.00,1130.20,1097.00,1105.10
19-Mar-2018,1113.00,1113.00,1079.05,1090.50
20-Mar-2018,1088.20,1117.75,1083.50,1108.50
21-Mar-2018,1111.25,1129.05,1091.85,1104.55
22-Mar-2018,1105.00,1111.00,1082.55,1095.55
23-Mar-2018,1080.00,1100.05,1078.50,1090.90
26-Mar-2018,1091.00,1111.00,1071.00,1103.10
27-Mar-2018,1110.00,1110.00,1087.20,1091.50
28-Mar-2018,1086.10,1103.00,1070.00,1072.85
02-Apr-2018,1079.80,1107.70,1063.00,1101.85
03-Apr-2018,1101.85,1130.85,1095.00,1124.45
04-Apr-2018,1124.05,1133.00,1097.50,1116.55
05-Apr-2018,1127.00,1135.00,1121.00,1124.85
06-Apr-2018,1124.00,1131.90,1115.45,1123.40
09-Apr-2018,1123.00,1127.95,1105.60,1116.35
10-Apr-2018,1124.00,1129.45,1106.40,1114.25
11-Apr-2018,1114.55,1121.40,1101.00,1105.00
12-Apr-2018,1107.00,1110.90,1091.00,1099.85
13-Apr-2018,1103.95,1111.75,1074.55,1076.15
16-Apr-2018,1076.15,1083.55,1068.00,1077.85
