Date,Open,High,Low,Close
01-Jan-2018,680.40,689.00,675.00,677.95
02-Jan-2018,678.95,682.55,668.35,670.75
03-Jan-2018,672.55,677.75,667.00,668.65
04-Jan-2018,672.85,676.00,666.95,674.70
05-Jan-2018,677.90,681.00,670.05,672.20
08-Jan-2018,675.95,681.50,671.00,678.05
09-Jan-2018,679.00,694.45,674.70,680.65
10-Jan-2018,682.80,685.90,672.00,673.45
11-Jan-2018,673.95,683.75,670.10,675.05
12-Jan-2018,678.00,686.10,672.60,677.15
15-Jan-2018,677.35,682.00,671.90,673.30
16-Jan-2018,673.25,675.30,646.55,651.85
17-Jan-2018,645.30,653.50,634.40,645.60
18-Jan-2018,649.85,651.35,628.40,634.10
19-Jan-2018,632.00,639.95,626.15,633.85
22-Jan-2018,638.00,650.00,629.10,644.50
23-Jan-2018,654.00,654.50,636.55,639.40
24-Jan-2018,639.10,645.00,628.50,633.75
25-Jan-2018,634.80,634.80,617.65,619.25
29-Jan-2018,619.95,627.65,603.20,605.60
30-Jan-2018,607.40,619.40,602.60,609.95
31-Jan-2018,612.50,625.00,611.95,615.35
01-Feb-2018,618.40,630.85,606.75,623.10
02-Feb-2018,620.00,622.70,596.15,616.90
05-Feb-2018,605.50,622.95,604.00,619.25
06-Feb-2018,599.00,616.00,591.60,603.70
07-Feb-2018,611.30,622.20,599.35,601.50
08-Feb-2018,603.00,624.00,601.40,618.95
09-Feb-2018,606.95,641.00,603.70,638.10
12-Feb-2018,645.00,655.95,634.95,650.00
14-Feb-2018,657.70,666.00,642.10,656.60
15-Feb-2018,654.00,657.95,644.00,646.45
16-Feb-2018,646.80,650.95,633.65,640.05
19-Feb-2018,638.20,644.70,625.70,634.10
20-Feb-2018,634.00,639.50,628.40,630.30
21-Feb-2018,632.35,634.90,617.10,625.50
22-Feb-2018,623.05,629.90,615.00,617.85
23-Feb-2018,619.90,643.00,619.90,639.15
26-Feb-2018,643.00,643.00,633.45,635.10
27-Feb-2018,635.10,652.20,634.15,648.85
28-Feb-2018,645.00,649.70,638.00,642.35
01-Mar-2018,638.50,646.00,635.00,638.15
05-Mar-2018,636.30,636.30,624.10,628.60
06-Mar-2018,631.25,637.00,620.10,624.30
07-Mar-2018,624.00,624.00,606.55,613.25
08-Mar-2018,621.25,621.25,610.00,616.70
09-Mar-2018,617.20,628.25,615.15,620.00
12-Mar-2018,623.20,631.00,619.50,625.60
13-Mar-2018,625.60,638.40,624.85,634.05
14-Mar-2018,630.65,641.05,628.50,639.25
15-Mar-2018,639.90,648.20,637.65,639.30
16-Mar-2018,640.00,644.60,621.00,624.15
19-Mar-2018,624.50,630.30,624.50,626.00
20-Mar-2018,626.00,643.00,623.70,637.50
21-Mar-2018,639.90,648.30,632.30,638.30
22-Mar-2018,633.00,640.05,625.05,627.80
23-Mar-2018,615.15,623.65,614.50,617.15
26-Mar-2018,617.00,623.55,617.00,620.30
27-Mar-2018,622.00,629.00,620.40,625.65
28-Mar-2018,622.80,625.25,619.75,620.15
02-Apr-2018,620.95,642.15,620.95,637.85
03-Apr-2018,636.00,656.40,636.00,652.45
04-Apr-2018,656.35,662.95,633.55,637.85
05-Apr-2018,649.70,661.10,646.65,654.95
06-Apr-2018,656.85,657.10,649.30,654.85
09-Apr-2018,655.00,671.00,653.45,660.10
10-Apr-2018,659.20,664.50,650.00,655.45
11-Apr-2018,655.15,660.65,652.50,659.05
12-Apr-2018,656.00,663.00,632.75,634.75
13-Apr-2018,635.25,641.50,629.35,635.00
16-Apr-2018,634.00,634.00,614.50,621.00
