Date,Open,High,Low,Close
01-Jan-2018,430.95,436.40,422.25,424.45
02-Jan-2018,428.85,440.85,422.00,439.30
03-Jan-2018,440.40,441.40,431.95,433.90
04-Jan-2018,430.00,433.30,425.75,429.95
05-Jan-2018,431.25,436.35,429.80,431.60
08-Jan-2018,432.00,436.20,431.65,433.55
09-Jan-2018,434.25,443.50,433.00,437.55
10-Jan-2018,438.00,439.30,431.30,433.30
11-Jan-2018,433.50,437.60,432.90,434.75
12-Jan-2018,437.00,441.45,432.10,437.10
15-Jan-2018,438.05,440.05,431.05,432.35
16-Jan-2018,433.00,435.20,419.50,421.90
17-Jan-2018,422.05,424.50,410.10,422.95
18-Jan-2018,424.00,428.30,414.45,418.95
19-Jan-2018,415.20,421.95,415.05,418.05
22-Jan-2018,419.05,424.40,418.45,421.90
23-Jan-2018,422.80,422.80,414.75,418.00
24-Jan-2018,416.00,416.25,402.65,403.60
25-Jan-2018,403.45,407.65,398.00,400.30
29-Jan-2018,402.50,405.90,398.10,399.25
30-Jan-2018,400.00,402.30,395.00,395.85
31-Jan-2018,395.50,400.95,395.25,399.50
01-Feb-2018,399.90,403.80,390.55,393.65
02-Feb-2018,392.00,397.40,381.30,383.75
05-Feb-2018,381.00,398.00,380.00,395.80
06-Feb-2018,363.00,379.85,356.50,375.45
07-Feb-2018,380.40,385.40,375.20,377.80
08-Feb-2018,379.90,380.00,372.20,374.85
09-Feb-2018,369.90,373.20,368.00,368.75
12-Feb-2018,373.40,376.20,370.20,371.80
14-Feb-2018,372.90,382.30,370.60,376.85
15-Feb-2018,379.80,382.20,373.10,375.80
16-Feb-2018,378.00,379.40,367.60,370.75
19-Feb-2018,373.70,374.70,362.80,368.75
20-Feb-2018,370.35,370.90,366.50,369.30
21-Feb-2018,372.50,372.50,362.85,364.45
22-Feb-2018,363.00,363.00,357.50,358.50
23-Feb-2018,360.10,364.60,358.75,360.20
26-Feb-2018,362.00,373.50,362.00,372.05
27-Feb-2018,375.00,376.60,370.35,372.55
28-Feb-2018,370.00,373.65,367.15,369.90
01-Mar-2018,369.75,376.30,369.05,370.75
05-Mar-2018,368.75,368.75,350.10,352.05
06-Mar-2018,355.15,357.95,345.00,346.50
07-Mar-2018,345.00,355.30,343.25,347.80
08-Mar-2018,350.80,351.90,341.05,345.15
09-Mar-2018,345.55,348.70,340.15,341.50
12-Mar-2018,345.00,353.80,340.35,352.60
13-Mar-2018,352.60,356.45,350.00,353.15
14-Mar-2018,351.00,354.90,349.60,354.05
15-Mar-2018,354.05,358.40,351.10,353.10
16-Mar-2018,352.05,352.60,338.40,339.75
19-Mar-2018,341.20,342.10,332.55,335.70
20-Mar-2018,335.50,340.40,333.55,338.80
21-Mar-2018,339.90,342.25,332.25,333.85
22-Mar-2018,338.50,340.25,334.80,338.20
23-Mar-2018,330.00,334.80,329.60,330.85
26-Mar-2018,328.80,333.90,324.30,332.35
27-Mar-2018,333.95,335.80,330.10,331.15
28-Mar-2018,331.50,333.65,325.20,326.85
02-Apr-2018,335.00,340.80,332.70,339.15
03-Apr-2018,338.40,344.50,337.15,343.10
04-Apr-2018,346.80,363.70,346.25,355.60
05-Apr-2018,362.60,372.35,359.80,362.20
06-Apr-2018,362.00,368.35,356.45,364.10
09-Apr-2018,361.90,368.60,357.00,358.30
10-Apr-2018,360.50,362.35,351.50,353.25
11-Apr-2018,355.00,357.15,350.50,355.80
12-Apr-2018,358.00,364.40,357.00,358.40
13-Apr-2018,357.90,361.00,354.40,357.05
16-Apr-2018,350.80,352.80,337.55,339.15
