Date,Open,High,Low,Close
01-Jan-2018,93.80,100.00,92.40,97.15
02-Jan-2018,98.25,100.25,96.15,99.70
03-Jan-2018,100.30,101.60,99.60,100.80
04-Jan-2018,100.95,101.00,99.25,99.60
05-Jan-2018,99.80,101.80,99.30,99.55
08-Jan-2018,100.00,100.50,98.90,99.85
09-Jan-2018,100.05,101.50,98.30,98.60
10-Jan-2018,98.85,99.90,97.10,98.25
11-Jan-2018,98.30,100.25,97.80,99.55
12-Jan-2018,99.70,101.15,97.45,99.05
15-Jan-2018,99.55,99.80,97.70,97.95
16-Jan-2018,98.20,98.45,92.90,93.65
17-Jan-2018,93.70,94.00,91.50,93.20
18-Jan-2018,93.90,94.25,90.05,90.60
19-Jan-2018,90.70,92.50,90.20,92.20
22-Jan-2018,92.60,92.75,91.25,92.10
23-Jan-2018,92.25,93.40,91.75,92.50
24-Jan-2018,92.25,92.90,90.85,91.80
25-Jan-2018,91.85,92.60,89.55,89.95
29-Jan-2018,90.10,91.15,89.45,90.05
30-Jan-2018,88.65,91.40,88.15,90.60
31-Jan-2018,90.40,91.20,88.55,89.00
01-Feb-2018,89.00,90.85,87.75,89.70
02-Feb-2018,88.40,88.70,84.15,84.80
05-Feb-2018,83.40,85.50,82.35,85.00
06-Feb-2018,82.00,84.20,79.55,82.80
07-Feb-2018,83.95,85.85,83.70,84.70
08-Feb-2018,84.95,86.15,84.65,85.05
09-Feb-2018,82.50,85.95,82.50,85.05
12-Feb-2018,85.50,87.35,85.50,86.75
14-Feb-2018,87.50,88.90,86.45,87.10
15-Feb-2018,88.80,88.80,85.60,86.25
16-Feb-2018,86.50,87.40,85.85,86.65
19-Feb-2018,86.70,86.85,85.00,86.10
20-Feb-2018,86.10,86.80,85.55,86.40
21-Feb-2018,86.50,87.10,84.60,86.35
22-Feb-2018,86.20,87.20,83.45,84.90
23-Feb-2018,85.00,86.45,84.50,85.75
26-Feb-2018,85.85,87.10,85.60,85.90
27-Feb-2018,86.35,86.90,85.30,85.65
28-Feb-2018,85.55,85.80,84.25,84.50
01-Mar-2018,85.00,85.95,83.95,84.30
05-Mar-2018,84.30,84.30,81.40,82.15
06-Mar-2018,82.60,83.15,81.10,81.75
07-Mar-2018,81.20,81.70,79.00,79.20
08-Mar-2018,78.60,80.40,77.00,79.90
09-Mar-2018,80.00,81.60,79.80,80.00
12-Mar-2018,80.55,81.05,79.95,80.85
13-Mar-2018,80.80,82.25,80.40,81.35
14-Mar-2018,81.25,81.40,79.85,80.40
15-Mar-2018,80.60,81.20,80.00,80.25
16-Mar-2018,80.25,80.65,79.70,79.95
19-Mar-2018,79.95,80.50,78.85,79.55
20-Mar-2018,78.80,80.55,78.80,80.35
21-Mar-2018,80.40,80.75,79.80,79.95
22-Mar-2018,79.90,80.35,79.75,80.00
23-Mar-2018,78.00,80.30,78.00,80.00
26-Mar-2018,81.00,81.25,78.75,79.90
27-Mar-2018,80.45,81.50,79.70,80.10
28-Mar-2018,79.80,80.35,78.35,79.00
02-Apr-2018,79.00,82.20,78.75,81.90
03-Apr-2018,81.15,84.60,81.15,84.45
04-Apr-2018,84.70,85.95,82.55,83.05
05-Apr-2018,84.00,84.75,83.30,83.50
06-Apr-2018,83.55,85.10,82.60,84.50
09-Apr-2018,84.15,85.40,83.95,85.00
10-Apr-2018,85.30,87.60,84.00,87.10
11-Apr-2018,86.90,88.10,86.00,87.00
12-Apr-2018,87.10,88.45,86.30,87.85
13-Apr-2018,87.80,88.70,87.20,87.65
16-Apr-2018,86.85,88.25,85.65,87.80
