Date,Open,High,Low,Close
01-Jan-2018,501.10,508.70,500.05,503.10
02-Jan-2018,503.50,515.00,503.50,513.95
03-Jan-2018,516.10,525.00,515.70,519.45
04-Jan-2018,519.50,525.00,514.00,522.55
05-Jan-2018,521.00,527.00,514.85,525.45
08-Jan-2018,520.70,542.85,520.70,536.30
09-Jan-2018,540.00,540.00,529.00,533.85
10-Jan-2018,535.00,544.00,533.80,542.10
11-Jan-2018,544.00,555.85,542.70,551.70
12-Jan-2018,550.00,554.50,548.00,550.75
15-Jan-2018,550.95,554.90,542.35,543.75
16-Jan-2018,548.00,563.00,547.30,557.65
17-Jan-2018,559.95,564.55,553.15,554.90
18-Jan-2018,560.00,560.00,550.25,552.65
19-Jan-2018,553.00,558.50,547.05,552.90
22-Jan-2018,550.00,572.40,549.70,569.50
23-Jan-2018,569.15,590.70,564.20,588.25
24-Jan-2018,584.15,612.45,584.15,603.15
25-Jan-2018,604.50,613.45,588.10,598.45
29-Jan-2018,599.05,608.70,595.45,604.80
30-Jan-2018,600.00,611.25,593.20,602.95
31-Jan-2018,602.80,626.20,597.00,612.65
01-Feb-2018,612.55,619.50,607.05,611.05
02-Feb-2018,604.30,622.50,599.05,619.45
05-Feb-2018,609.90,631.20,609.40,629.05
06-Feb-2018,601.00,621.20,601.00,606.70
07-Feb-2018,611.80,617.30,596.95,603.10
08-Feb-2018,610.00,622.00,594.95,608.25
09-Feb-2018,601.00,603.00,589.40,595.25
12-Feb-2018,598.00,604.90,586.15,590.35
14-Feb-2018,588.50,614.60,588.50,611.50
15-Feb-2018,615.00,618.60,604.00,605.65
16-Feb-2018,610.00,613.70,581.20,584.35
19-Feb-2018,588.75,588.75,563.65,572.45
20-Feb-2018,575.00,582.20,569.00,574.20
21-Feb-2018,581.05,598.00,566.55,595.20
22-Feb-2018,592.00,606.45,592.00,602.60
23-Feb-2018,607.00,624.95,605.00,621.45
26-Feb-2018,622.00,627.45,611.05,612.45
27-Feb-2018,618.00,618.30,602.45,610.55
28-Feb-2018,610.20,615.00,603.85,612.65
01-Mar-2018,612.05,615.90,605.55,611.90
05-Mar-2018,608.50,634.90,606.55,630.85
06-Mar-2018,631.90,633.90,615.00,617.25
07-Mar-2018,619.80,626.45,606.55,609.05
08-Mar-2018,615.00,616.75,603.00,607.20
09-Mar-2018,609.70,623.10,606.50,619.20
12-Mar-2018,621.15,636.40,616.70,619.55
13-Mar-2018,620.00,624.95,613.60,619.15
14-Mar-2018,617.50,640.75,617.50,639.10
15-Mar-2018,641.70,651.95,627.05,631.85
16-Mar-2018,634.70,639.00,627.00,634.70
19-Mar-2018,634.85,637.40,608.00,609.90
20-Mar-2018,605.00,635.30,603.10,633.40
21-Mar-2018,635.00,636.85,621.25,625.85
22-Mar-2018,627.00,631.00,616.50,619.05
23-Mar-2018,607.50,625.00,604.75,623.35
26-Mar-2018,623.00,628.60,617.00,620.40
27-Mar-2018,625.00,629.60,619.00,621.65
28-Mar-2018,621.20,641.00,616.65,638.70
02-Apr-2018,638.70,646.50,634.10,640.30
03-Apr-2018,636.50,638.00,613.50,615.95
04-Apr-2018,618.00,622.00,603.25,606.30
05-Apr-2018,616.20,620.75,604.55,617.35
06-Apr-2018,616.00,622.00,613.80,618.20
09-Apr-2018,621.00,622.50,613.25,614.85
10-Apr-2018,620.90,629.50,611.50,626.45
11-Apr-2018,626.05,636.80,620.65,633.35
12-Apr-2018,636.40,655.00,634.05,652.80
13-Apr-2018,652.55,673.85,641.10,671.55
16-Apr-2018,658.10,682.80,657.50,668.70
