Date,Open,High,Low,Close
01-Jan-2018,773.85,776.15,762.70,766.45
02-Jan-2018,784.00,794.45,766.00,774.85
03-Jan-2018,783.95,783.95,766.85,769.85
04-Jan-2018,772.60,772.90,759.90,766.55
05-Jan-2018,766.55,775.00,765.15,766.95
08-Jan-2018,770.00,770.95,763.35,767.05
09-Jan-2018,770.75,783.00,767.05,770.50
10-Jan-2018,770.50,775.85,764.55,767.45
11-Jan-2018,767.45,770.00,753.20,755.35
12-Jan-2018,754.00,754.00,740.00,750.40
15-Jan-2018,753.05,757.00,737.00,740.45
16-Jan-2018,739.20,740.40,716.25,722.55
17-Jan-2018,722.55,736.00,709.00,730.00
18-Jan-2018,740.00,740.00,703.95,719.95
19-Jan-2018,719.00,721.60,708.05,715.20
22-Jan-2018,715.00,722.95,710.15,715.00
23-Jan-2018,717.90,720.80,704.60,706.15
24-Jan-2018,705.90,716.60,703.60,706.70
25-Jan-2018,709.75,718.00,702.85,704.60
29-Jan-2018,706.00,721.25,706.00,719.50
30-Jan-2018,724.40,729.50,694.05,713.95
31-Jan-2018,710.30,712.00,683.50,696.80
01-Feb-2018,696.00,696.80,668.40,671.20
02-Feb-2018,670.70,671.70,640.15,645.25
05-Feb-2018,636.00,661.00,620.00,658.35
06-Feb-2018,622.60,664.75,599.80,650.40
07-Feb-2018,658.35,668.50,646.30,648.50
08-Feb-2018,646.55,670.00,644.65,666.20
09-Feb-2018,656.75,672.00,650.85,664.80
12-Feb-2018,665.80,673.75,660.00,661.25
14-Feb-2018,662.70,669.00,650.00,654.00
15-Feb-2018,657.90,661.50,648.00,656.10
16-Feb-2018,656.25,661.00,647.05,654.70
19-Feb-2018,658.70,658.70,636.50,652.65
20-Feb-2018,652.65,654.70,644.00,650.80
21-Feb-2018,655.00,655.00,628.05,637.25
22-Feb-2018,637.10,642.50,625.15,631.40
23-Feb-2018,634.90,670.00,634.80,667.85
26-Feb-2018,668.50,686.00,667.00,680.85
27-Feb-2018,685.00,687.00,673.30,677.00
28-Feb-2018,669.50,682.95,668.00,680.95
01-Mar-2018,678.00,686.85,675.30,677.40
05-Mar-2018,682.00,686.15,661.10,665.75
06-Mar-2018,665.90,673.20,640.00,644.40
07-Mar-2018,639.95,644.15,630.05,633.75
08-Mar-2018,638.00,648.95,620.95,646.50
09-Mar-2018,649.30,653.00,635.40,646.15
12-Mar-2018,654.00,656.75,642.00,650.10
13-Mar-2018,649.70,658.45,635.50,641.60
14-Mar-2018,635.30,646.30,631.00,642.45
15-Mar-2018,640.00,651.80,640.00,643.65
16-Mar-2018,644.95,644.95,628.65,631.80
19-Mar-2018,631.00,634.75,605.50,614.30
20-Mar-2018,613.00,627.60,607.50,622.75
21-Mar-2018,625.20,628.30,612.60,615.60
22-Mar-2018,616.00,624.65,602.05,606.00
23-Mar-2018,595.00,613.55,545.40,606.35
26-Mar-2018,608.00,621.70,602.40,619.20
27-Mar-2018,625.00,627.95,615.10,617.05
28-Mar-2018,610.55,622.00,608.00,619.30
02-Apr-2018,621.00,665.00,620.00,660.45
03-Apr-2018,658.00,658.10,641.85,648.20
04-Apr-2018,654.00,654.90,643.00,646.05
05-Apr-2018,648.90,656.50,643.75,649.10
06-Apr-2018,656.80,656.80,638.00,645.45
09-Apr-2018,645.20,650.40,642.00,647.60
10-Apr-2018,650.00,652.10,638.00,640.50
11-Apr-2018,645.70,645.70,628.10,629.95
12-Apr-2018,628.00,646.00,625.50,641.35
13-Apr-2018,645.85,671.30,638.05,661.80
16-Apr-2018,654.00,677.50,653.00,675.60
