Date,Open,High,Low,Close
01-Jan-1996,407.00,407.90,405.00,407.90
02-Jan-1996,407.00,409.00,406.25,406.25
03-Jan-1996,409.00,409.00,409.00,409.00
04-Jan-1996,405.00,407.00,405.00,406.30
05-Jan-1996,401.50,401.50,401.50,401.50
08-Jan-1996,401.50,405.00,402.00,404.00
09-Jan-1996,404.00,400.00,395.00,399.50
10-Jan-1996,399.50,397.00,395.00,396.00
11-Jan-1996,399.00,405.00,396.00,405.00
12-Jan-1996,403.00,403.00,400.00,402.75
15-Jan-1996,397.50,402.00,397.50,398.25
16-Jan-1996,398.25,400.00,365.00,400.00
17-Jan-1996,400.00,401.00,395.00,396.20
18-Jan-1996,396.20,397.50,394.00,397.50
19-Jan-1996,395.00,395.00,393.25,393.50
22-Jan-1996,395.00,397.50,395.00,397.50
23-Jan-1996,393.00,400.00,393.00,396.25
24-Jan-1996,396.25,394.50,385.50,394.50
25-Jan-1996,394.75,394.75,393.00,393.00
29-Jan-1996,392.00,392.00,390.75,390.75
30-Jan-1996,390.75,397.00,395.00,395.50
31-Jan-1996,395.50,400.00,393.00,400.00
01-Feb-1996,400.00,415.00,400.00,415.00
02-Feb-1996,415.00,430.00,415.00,429.95
05-Feb-1996,429.95,431.00,420.05,430.00
06-Feb-1996,430.00,452.50,430.00,440.00
07-Feb-1996,440.00,432.00,427.00,428.30
08-Feb-1996,435.00,455.00,435.00,455.00
09-Feb-1996,455.00,475.00,425.00,472.35
12-Feb-1996,472.35,479.00,465.00,467.00
13-Feb-1996,480.00,490.00,480.00,490.00
14-Feb-1996,490.00,512.50,487.00,508.50
15-Feb-1996,508.50,515.00,490.00,513.30
16-Feb-1996,513.30,520.00,494.25,514.75
19-Feb-1996,514.75,505.00,503.00,504.10
20-Feb-1996,504.10,502.50,496.00,496.10
22-Feb-1996,496.10,498.00,492.15,492.25
23-Feb-1996,492.25,497.00,492.00,497.00
26-Feb-1996,497.00,500.00,494.75,500.00
27-Feb-1996,500.00,487.50,475.00,475.00
28-Feb-1996,475.00,476.00,476.00,476.00
29-Feb-1996,476.00,470.00,468.00,469.00
01-Mar-1996,469.00,475.00,460.00,472.50
04-Mar-1996,475.00,480.00,475.00,480.00
06-Mar-1996,487.90,487.90,466.50,466.50
07-Mar-1996,466.50,480.00,469.95,480.00
08-Mar-1996,480.00,483.95,476.00,483.95
11-Mar-1996,483.95,480.00,477.05,479.00
12-Mar-1996,479.00,480.00,470.00,480.00
13-Mar-1996,480.00,475.20,468.50,468.50
14-Mar-1996,468.50,480.00,479.75,480.00
15-Mar-1996,480.00,478.05,478.00,478.00
18-Mar-1996,478.00,480.00,478.00,478.70
19-Mar-1996,478.70,480.00,475.00,480.00
21-Mar-1996,480.00,483.70,478.50,478.50
22-Mar-1996,478.50,487.00,482.05,484.70
25-Mar-1996,484.70,479.90,471.50,479.00
26-Mar-1996,479.00,478.00,472.60,472.60
27-Mar-1996,472.60,480.00,476.00,476.00
28-Mar-1996,476.00,486.05,485.00,486.05
29-Mar-1996,486.05,503.95,490.00,502.95
02-Apr-1996,502.95,505.00,499.00,505.00
03-Apr-1996,505.00,507.00,501.00,501.00
04-Apr-1996,501.00,500.00,500.00,500.00
08-Apr-1996,500.00,502.90,500.00,502.90
09-Apr-1996,502.90,530.00,506.00,528.50
10-Apr-1996,528.50,582.00,555.05,557.50
11-Apr-1996,557.50,556.00,545.00,551.00
12-Apr-1996,551.00,560.00,548.05,559.40
15-Apr-1996,559.40,600.00,560.00,594.00
16-Apr-1996,594.00,625.00,590.00,617.80
17-Apr-1996,617.80,655.00,620.00,648.10
18-Apr-1996,648.10,674.90,630.50,640.90
19-Apr-1996,640.90,651.00,632.50,636.00
22-Apr-1996,636.00,635.00,620.00,621.00
23-Apr-1996,621.00,625.00,615.00,623.60
24-Apr-1996,623.60,650.00,631.00,636.05
25-Apr-1996,636.05,643.50,635.05,635.10
26-Apr-1996,635.10,644.00,626.30,633.55
29-Apr-1996,633.55,632.00,626.90,629.00
30-Apr-1996,629.00,634.75,626.50,630.50
01-May-1996,630.50,633.00,629.00,630.50
02-May-1996,630.50,660.00,634.00,642.00
03-May-1996,642.00,648.00,635.00,642.25
06-May-1996,642.25,648.75,637.50,646.40
07-May-1996,646.40,650.00,640.25,650.00
08-May-1996,650.00,664.00,645.00,658.70
09-May-1996,658.70,704.50,647.05,676.35
10-May-1996,676.35,693.50,655.00,687.75
13-May-1996,687.75,698.65,681.10,687.35
14-May-1996,687.35,689.90,674.00,683.95
15-May-1996,683.95,688.70,668.00,674.90
16-May-1996,674.90,693.00,681.00,681.80
17-May-1996,681.80,690.40,663.00,671.35
20-May-1996,671.35,670.00,661.50,662.15
21-May-1996,662.15,672.00,658.50,666.25
22-May-1996,666.25,670.00,664.50,664.50
23-May-1996,664.50,662.25,655.55,659.85
24-May-1996,659.85,662.00,651.00,661.00
27-May-1996,661.00,655.00,648.25,648.25
28-May-1996,648.25,655.00,640.00,654.00
29-May-1996,654.00,662.75,656.25,662.75
30-May-1996,662.75,655.00,645.25,650.20
31-May-1996,650.20,650.00,646.00,647.00
03-Jun-1996,647.00,667.00,658.50,666.45
04-Jun-1996,666.45,670.70,665.00,670.70
05-Jun-1996,671.50,674.00,668.00,668.50
06-Jun-1996,675.00,682.00,675.00,682.00
07-Jun-1996,681.75,692.00,680.10,691.80
10-Jun-1996,712.95,712.95,702.00,704.05
11-Jun-1996,700.00,707.00,696.10,705.80
12-Jun-1996,710.00,719.00,708.00,710.10
13-Jun-1996,705.00,709.90,700.00,706.95
14-Jun-1996,708.95,711.00,706.00,710.00
17-Jun-1996,720.00,721.00,710.00,710.00
18-Jun-1996,702.50,720.00,700.00,707.45
19-Jun-1996,710.00,710.00,710.00,710.00
20-Jun-1996,700.00,710.00,700.00,705.00
21-Jun-1996,706.00,710.00,705.00,705.00
24-Jun-1996,700.00,700.00,695.00,697.40
25-Jun-1996,694.10,697.00,693.10,696.50
26-Jun-1996,699.95,711.00,695.00,709.50
27-Jun-1996,699.00,710.00,698.50,709.20
28-Jun-1996,709.00,709.00,703.55,707.00
01-Jul-1996,710.00,712.00,705.75,708.00
02-Jul-1996,705.00,710.00,705.00,706.70
03-Jul-1996,701.00,709.90,697.50,702.80
04-Jul-1996,699.00,705.00,690.75,700.00
05-Jul-1996,700.00,700.00,698.00,698.00
08-Jul-1996,698.00,700.00,693.75,693.75
09-Jul-1996,699.00,699.00,690.00,695.00
10-Jul-1996,698.00,710.00,698.00,710.00
11-Jul-1996,710.00,715.25,706.00,706.20
12-Jul-1996,709.90,713.00,706.15,708.90
15-Jul-1996,707.50,707.50,703.00,703.00
16-Jul-1996,696.10,696.10,685.00,691.70
18-Jul-1996,695.00,695.25,690.00,695.25
19-Jul-1996,700.00,700.00,691.50,698.25
22-Jul-1996,705.00,705.00,700.00,700.00
23-Jul-1996,700.00,700.00,691.00,693.95
24-Jul-1996,685.00,685.00,658.00,685.00
25-Jul-1996,684.00,700.00,682.00,695.10
26-Jul-1996,697.90,698.00,682.00,686.00
29-Jul-1996,689.00,690.00,681.50,681.50
30-Jul-1996,680.00,680.00,636.00,639.50
31-Jul-1996,642.05,660.00,642.05,660.00
01-Aug-1996,670.00,700.00,670.00,699.95
02-Aug-1996,704.00,704.00,690.00,690.00
05-Aug-1996,690.00,690.00,684.00,684.95
06-Aug-1996,680.00,694.00,680.00,687.90
07-Aug-1996,675.00,680.00,675.00,677.95
08-Aug-1996,684.90,690.00,684.50,689.00
09-Aug-1996,685.00,685.00,680.00,681.20
12-Aug-1996,677.05,680.00,671.00,671.70
13-Aug-1996,667.00,670.00,666.50,666.50
14-Aug-1996,670.00,671.00,670.00,671.00
16-Aug-1996,655.10,655.10,632.00,648.00
19-Aug-1996,637.00,647.00,636.00,636.50
20-Aug-1996,636.00,640.00,636.00,636.00
21-Aug-1996,636.00,645.00,635.95,643.65
22-Aug-1996,649.00,650.00,644.00,644.00
23-Aug-1996,653.50,657.90,652.00,657.50
26-Aug-1996,670.00,670.00,653.00,655.10
27-Aug-1996,646.00,660.00,646.00,657.40
28-Aug-1996,660.00,668.00,655.00,655.00
29-Aug-1996,660.00,672.00,660.00,664.10
30-Aug-1996,675.00,675.00,670.00,670.00
02-Sep-1996,681.05,681.05,669.50,669.75
03-Sep-1996,668.00,668.05,663.10,663.10
04-Sep-1996,667.00,670.35,667.00,670.35
05-Sep-1996,674.00,674.00,671.00,674.00
06-Sep-1996,672.00,700.00,670.00,690.00
09-Sep-1996,682.00,685.00,672.00,672.00
10-Sep-1996,666.00,670.00,666.00,668.70
11-Sep-1996,661.00,666.00,661.00,663.00
12-Sep-1996,663.80,663.90,663.80,663.90
13-Sep-1996,656.50,663.00,656.50,660.10
16-Sep-1996,658.00,660.00,658.00,660.00
17-Sep-1996,669.90,669.90,655.00,659.85
18-Sep-1996,664.00,670.00,664.00,664.00
19-Sep-1996,664.00,670.00,664.00,670.00
20-Sep-1996,670.00,672.00,670.00,670.25
23-Sep-1996,660.00,680.00,660.00,675.50
24-Sep-1996,665.10,670.95,665.00,670.00
25-Sep-1996,670.00,673.90,670.00,672.15
26-Sep-1996,668.00,668.00,665.10,665.10
27-Sep-1996,655.00,664.00,655.00,664.00
30-Sep-1996,658.00,662.50,655.00,659.50
01-Oct-1996,655.00,656.00,645.00,645.00
03-Oct-1996,635.00,649.75,633.50,649.75
04-Oct-1996,636.00,644.95,635.50,642.50
07-Oct-1996,639.50,639.50,623.00,627.05
08-Oct-1996,621.00,636.00,619.25,632.00
09-Oct-1996,628.00,650.00,628.00,649.20
10-Oct-1996,685.00,694.00,670.00,680.35
11-Oct-1996,690.00,690.00,680.25,684.05
14-Oct-1996,680.00,680.00,670.00,671.00
15-Oct-1996,672.70,674.50,657.00,661.85
16-Oct-1996,668.00,670.00,665.00,668.65
17-Oct-1996,670.00,670.00,665.00,667.95
18-Oct-1996,670.00,670.00,667.50,668.25
22-Oct-1996,687.90,695.00,687.50,691.00
23-Oct-1996,705.00,710.00,695.00,699.00
24-Oct-1996,720.00,720.00,690.15,690.35
25-Oct-1996,680.00,689.00,680.00,688.95
28-Oct-1996,690.00,690.00,680.05,687.30
29-Oct-1996,656.30,691.00,656.30,688.65
31-Oct-1996,682.00,684.00,666.00,679.90
01-Nov-1996,679.90,685.00,679.90,685.00
04-Nov-1996,670.10,680.00,670.10,680.00
05-Nov-1996,671.55,682.00,671.55,680.00
06-Nov-1996,674.90,680.00,674.90,680.00
07-Nov-1996,685.00,689.85,685.00,689.85
08-Nov-1996,698.95,698.95,694.05,694.05
10-Nov-1996,695.00,699.75,695.00,697.00
11-Nov-1996,691.00,691.00,685.35,685.35
13-Nov-1996,688.05,695.00,688.05,695.00
14-Nov-1996,695.00,702.00,695.00,698.15
15-Nov-1996,700.00,700.00,700.00,700.00
18-Nov-1996,699.00,699.75,695.15,696.85
19-Nov-1996,695.05,706.00,695.05,701.20
20-Nov-1996,698.05,702.00,698.05,702.00
21-Nov-1996,701.00,701.00,699.00,699.00
22-Nov-1996,699.00,700.00,699.00,699.50
25-Nov-1996,690.00,694.00,690.00,694.00
26-Nov-1996,692.00,694.00,691.20,691.20
27-Nov-1996,687.90,691.00,687.90,690.50
28-Nov-1996,690.00,695.00,690.00,693.75
29-Nov-1996,685.25,695.00,685.25,695.00
02-Dec-1996,690.00,695.00,686.90,694.65
03-Dec-1996,700.00,700.00,686.00,686.00
04-Dec-1996,675.00,680.00,675.00,679.90
05-Dec-1996,660.00,678.00,660.00,677.90
06-Dec-1996,678.10,690.00,678.00,690.00
09-Dec-1996,690.00,690.00,690.00,690.00
10-Dec-1996,682.00,688.70,682.00,687.45
11-Dec-1996,700.00,705.00,699.00,704.50
12-Dec-1996,702.00,705.00,702.00,705.00
13-Dec-1996,700.00,705.00,700.00,705.00
16-Dec-1996,705.00,709.90,705.00,708.60
17-Dec-1996,712.00,718.00,710.05,716.70
18-Dec-1996,744.00,744.00,730.00,735.00
19-Dec-1996,745.00,750.00,736.10,750.00
20-Dec-1996,754.00,763.00,750.00,763.00
23-Dec-1996,765.00,768.00,761.00,765.00
24-Dec-1996,756.00,770.00,756.00,760.00
26-Dec-1996,774.00,775.00,774.00,775.00
31-Dec-1996,780.00,780.00,770.00,770.00
01-Jan-1997,790.00,810.00,790.00,790.10
02-Jan-1997,799.90,804.00,791.00,797.40
03-Jan-1997,791.05,799.00,791.05,796.00
06-Jan-1997,809.00,809.00,800.00,800.00
07-Jan-1997,790.05,803.00,790.05,801.70
08-Jan-1997,810.00,810.00,800.05,801.60
09-Jan-1997,800.00,809.50,800.00,809.45
10-Jan-1997,819.50,830.00,815.00,821.05
13-Jan-1997,829.90,832.90,827.10,832.90
14-Jan-1997,835.00,835.00,827.05,833.85
15-Jan-1997,858.50,870.00,858.00,869.90
16-Jan-1997,885.00,885.00,811.20,811.20
17-Jan-1997,815.00,830.00,815.00,830.00
20-Jan-1997,835.95,842.00,826.00,826.00
21-Jan-1997,810.05,824.00,805.00,807.70
22-Jan-1997,821.00,836.50,816.00,836.50
24-Jan-1997,826.10,826.10,817.00,818.25
27-Jan-1997,855.90,870.00,850.00,850.00
28-Jan-1997,838.00,838.00,827.05,831.80
29-Jan-1997,837.00,837.00,837.00,837.00
30-Jan-1997,828.00,833.50,826.25,828.15
31-Jan-1997,827.00,835.00,827.00,834.00
03-Feb-1997,827.00,840.00,827.00,835.10
04-Feb-1997,835.00,862.00,835.00,837.75
05-Feb-1997,869.00,869.75,855.00,855.00
06-Feb-1997,845.00,858.00,845.00,855.00
07-Feb-1997,862.00,865.00,862.00,862.00
10-Feb-1997,870.00,870.00,865.00,866.00
11-Feb-1997,870.00,890.00,869.00,889.95
12-Feb-1997,905.00,905.00,886.25,900.00
13-Feb-1997,899.10,903.00,897.00,902.35
14-Feb-1997,948.95,948.95,895.00,895.35
17-Feb-1997,915.00,915.00,895.00,900.95
18-Feb-1997,899.00,904.95,895.00,898.45
19-Feb-1997,861.50,910.00,861.50,910.00
20-Feb-1997,908.00,912.00,905.00,910.05
21-Feb-1997,905.05,921.00,905.05,921.00
24-Feb-1997,907.00,910.00,905.10,905.55
25-Feb-1997,910.00,925.00,906.10,916.15
26-Feb-1997,920.00,944.00,920.00,942.35
27-Feb-1997,940.15,959.50,940.00,959.50
28-Feb-1997,1010.00,1029.00,1010.00,1026.00
01-Mar-1997,1075.00,1097.85,1075.00,1097.85
03-Mar-1997,1159.00,1174.70,1120.00,1174.65
04-Mar-1997,1174.90,1175.00,1115.00,1136.55
05-Mar-1997,1200.00,1200.00,1130.05,1145.50
06-Mar-1997,1175.75,1180.00,1067.00,1091.60
10-Mar-1997,1020.00,1061.00,1020.00,1020.05
11-Mar-1997,1050.00,1050.00,981.00,1003.85
12-Mar-1997,1040.00,1050.00,1016.50,1036.40
13-Mar-1997,1039.00,1060.00,1038.00,1045.00
14-Mar-1997,1045.00,1059.50,1042.00,1042.50
17-Mar-1997,993.00,1054.00,993.00,1040.00
